"ID","RoleType","Type","ShowID","Name","Des","IconID","FlipID","DefaultRGBA","Label","CanUseInCreate","CoinPrice"
"0","0","0","0",,,"0","-1","255;255;255;255","0",,
"1","1","0","1","默认",,"5831",,"180;142;117;255",,"1","0"
"2","1","0","2","逸群",,"5832",,"192;153;134;255",,"1","500"
"3","1","0","3","白净",,"5833",,"186;151;137;255",,"1","500"
"4","1","0","4","古铜",,"5834",,"173;131;105;255",,"1","500"
"5","1","0","5","硬朗",,"5835",,"183;147;122;255",,"1","500"
"6","1","0","6","冠玉",,"5836",,"185;137;113;255",,"1","500"
"7","1","1","1","默认",,"5849",,"69;64;48;255",,"1","0"
"8","1","1","2","锦瑟",,"5849",,"69;64;48;255",,"1","500"
"9","1","1","3","秋练",,"5842",,"89;64;63;255",,"1","500"
"10","1","1","4","玄烛",,"5843",,"89;90;80;255",,"1","500"
"11","1","1","5","纤阿",,"5850",,"49;40;34;255",,"1","500"
"12","1","1","6","琳琅",,"5845",,"122;73;32;255",,"1","3800"
"13","1","1","7","望舒",,"5846",,"106;105;113;255",,"1","500"
"16","1","2","1","默认",,"5849",,"69;64;48;255",,"1","0"
"17","1","2","2","锦瑟",,"5849",,"69;64;48;255",,"1","500"
"18","1","2","3","秋练",,"5842",,"89;64;63;255",,"1","500"
"19","1","2","4","玄烛",,"5843",,"89;90;80;255",,"1","500"
"20","1","2","5","纤阿",,"5850",,"49;40;34;255",,"1","500"
"21","1","2","6","琳琅",,"5845",,"122;73;32;255",,"1","3800"
"22","1","2","7","望舒",,"5846",,"106;105;113;255",,"1","500"
"25","1","3","0","默认",,"5815",,"255;255;255;255",,"1","0"
"26","1","3","1","叠嶂",,"5806",,"91;66;58;255",,"1","300"
"27","1","3","2","墨央",,"5807",,"103;70;53;255",,"1","300"
"28","1","3","3","铁目",,"5808",,"98;72;64;255",,"1","300"
"30","1","3","5","惑心",,"5810",,"163;53;67;255",,"1","1000"
"35","1","4","1","默认",,"5762",,"0;0;0;255",,"1","0"
"36","1","4","2","一字",,"5762",,"0;0;0;255",,"1","500"
"37","1","4","3","二分",,"5763",,"0;0;0;255",,"1","500"
"38","1","4","4","三刻",,"5764",,"0;0;0;255",,"1","500"
"39","1","4","5","复峦",,"5765",,"0;0;0;255",,"1","500"
"40","1","4","6","云目",,"5766",,"0;0;0;255",,"1","500"
"41","1","4","7","丹枫",,"5767",,"0;0;0;255",,"1","1000"
"43","1","4","9","潮起",,"5769",,"0;0;0;255",,"1","500"
"45","1","4","11","凝然",,"5771",,"0;0;0;255",,"1","500"
"47","1","5","1","默认",,"5666",,"0;0;0;255",,"1","0"
"48","1","5","2","峰眉",,"5666",,"0;0;0;255",,"1","500"
"49","1","5","3","上挑眉",,"5667",,"0;0;0;255",,"1","500"
"50","1","5","4","朴实眉",,"5668",,"0;0;0;255",,"1","500"
"51","1","5","5","飞将眉",,"5669",,"0;0;0;255",,"1","1000"
"52","1","5","6","英杰眉",,"5670",,"0;0;0;255",,"1","500"
"53","1","5","7","刚正眉",,"5671",,"0;0;0;255",,"1","500"
"54","1","5","8","刀眉",,"5672",,"0;0;0;255",,"1","500"
"56","1","5","10","羽玉眉",,"5674",,"0;0;0;255",,"1","500"
