ID	RoleType	Type	ShowID	Name	Des	IconID	FlipID	DefaultRGBA	Label
0	0	0	0			0	-1	255;255;255;255	0
1	1	0	1	默认		5831		180;142;117;255	
2	1	0	2	逸群		5832		192;153;134;255	
3	1	0	3	白净		5833		186;151;137;255	
4	1	0	4	古铜		5834		173;131;105;255	
5	1	0	5	硬朗		5835		183;147;122;255	
6	1	0	6	冠玉		5836		185;137;113;255	
7	1	1	1	默认		5849		69;64;48;255	
8	1	1	2	锦瑟		5849		69;64;48;255	
9	1	1	3	秋练		5842		89;64;63;255	
10	1	1	4	玄烛		5843		89;90;80;255	
11	1	1	5	纤阿		5850		49;40;34;255	
12	1	1	6	琳琅		5845		122;73;32;255	
13	1	1	7	望舒		5846		106;105;113;255	
16	1	2	1	默认		5849		69;64;48;255	
17	1	2	2	锦瑟		5849		69;64;48;255	
18	1	2	3	秋练		5842		89;64;63;255	
19	1	2	4	玄烛		5843		89;90;80;255	
20	1	2	5	纤阿		5850		49;40;34;255	
21	1	2	6	琳琅		5845		122;73;32;255	
22	1	2	7	望舒		5846		106;105;113;255	
25	1	3	0	默认		5815		255;255;255;255	
26	1	3	1	叠嶂		5806		91;66;58;255	
27	1	3	2	墨央		5807		103;70;53;255	
28	1	3	3	铁目		5808		98;72;64;255	
30	1	3	5	惑心		5810		163;53;67;255	
35	1	4	1	默认		5762		0;0;0;255	
36	1	4	2	一字		5762		0;0;0;255	
37	1	4	3	二分		5763		0;0;0;255	
38	1	4	4	三刻		5764		0;0;0;255	
39	1	4	5	复峦		5765		0;0;0;255	
40	1	4	6	云目		5766		0;0;0;255	
41	1	4	7	丹枫		5767		0;0;0;255	
43	1	4	9	潮起		5769		0;0;0;255	
45	1	4	11	凝然		5771		0;0;0;255	
47	1	5	1	默认		5666		0;0;0;255	
48	1	5	2	峰眉		5666		0;0;0;255	
49	1	5	3	上挑眉		5667		0;0;0;255	
50	1	5	4	朴实眉		5668		0;0;0;255	
51	1	5	5	飞将眉		5669		0;0;0;255	
52	1	5	6	英杰眉		5670		0;0;0;255	
53	1	5	7	刚正眉		5671		0;0;0;255	
54	1	5	8	刀眉		5672		0;0;0;255	
56	1	5	10	羽玉眉		5674		0;0;0;255	
59	1	5	13	螺旋眉		5677		0;0;0;255	
68	1	6	0	默认		5815		255;255;255;255	
69	1	6	1	青皮胡		5999		0;0;0;255	
70	1	6	2	八字胡		6000		0;0;0;255	
71	1	6	3	亦邪胡		6001		0;0;0;255	
73	1	6	5	英杰胡		6003		0;0;0;255	
75	1	6	7	逐世胡		6005		0;0;0;255	
78	1	6	10	大络腮胡		6008		0;0;0;255	
79	1	6	11	小络腮胡		6009		0;0;0;255	
80	1	6	12	卫生胡		6010		0;0;0;255	
87	1	7	1	默认		5599		117;76;58;255	
88	1	7	2	久旱		5599		117;76;58;255	
89	1	7	3	河源		5600		128;62;52;255	
90	1	7	4	相逢		5601		131;80;64;255	
91	1	7	5	不动		5602		130;72;55;255	
92	1	7	6	根性		5603		124;84;72;255	
96	1	7	10	随欲		5607		108;57;50;255	
97	1	7	11	枯藤		5608		128;84;69;255	
98	1	7	12	鹰喙		5609		105;65;52;255	
99	1	7	13	鱼唇		5610		157;92;83;255	
100	1	8	1	默认		5556		255;255;255;255	
101	1	8	2	剪水		5556		255;255;255;255	
102	1	8	3	星眸		5557		255;255;255;255	
103	1	8	4	秋水		5558		255;255;255;255	
104	1	8	5	横波		5559		255;255;255;255	
105	1	8	6	春水		5560		255;255;255;255	
106	1	8	7	凝睇		5561		255;255;255;255	
107	1	8	8	清泉		5562		158;194;215;255	
109	1	8	10	朗星		5564		255;255;255;255	
110	1	8	11	点漆		5565		255;255;255;255	
115	1	9	0	默认		5815		255;255;255;255	
160	1	9	1	一点红		5683		198;89;80;255	
161	1	9	2	冷香		5685		196;56;97;255	
162	1	9	3	锦上		5686		177;78;62;255	
163	1	9	4	六出		5688		195;77;107;255	
165	1	9	6	月夕		5692		255;255;255;255	
166	1	9	7	般若		5693		107;92;75;255	
167	1	9	8	金刚		5694		107;92;75;255	
168	1	9	9	断戟		5679	10	140;99;90;255	
169	1	9	11	烽烟		5680	12	140;99;90;255	
170	1	9	13	无双		5681		140;99;90;255	
172	1	9	16	恋		5698	17	215;99;72;255	
176	1	9	24	长恨		5706		0;0;0;255	
177	1	9	25	忘川		5705	26	0;0;0;255	
178	1	9	27	奈何		5706	28	0;0;0;255	
180	1	9	31	蛮王		5708		221;79;53;255	
181	1	9	32	孤云出岫		5709		153;37;26;255	
182	1	9	33	惊鸿一瞥		5710		114;48;55;255	
185	1	9	37	浮世绘		5715		95;55;53;255	
233	2	0	1	默认		5821		213;155;138;255	
234	2	0	2	桃李		5822		209;169;151;255	
235	2	0	3	凝脂		5823		210;170;153;255	
236	2	0	4	姑射		5824		217;167;148;255	
237	2	0	5	明艳		5825		209;168;151;255	
238	2	0	6	冰肌		5826		209;168;151;255	
239	2	1	1	默认		5841		40;34;25;255	
240	2	1	2	蟾宫		5841		40;34;25;255	
241	2	1	3	秋练		5842		69;64;48;255	
242	2	1	4	玄烛		5843		89;64;63;255	
243	2	1	5	白露		5844		157;161;132;255	
244	2	1	6	琳琅		5845		89;90;80;255	
245	2	1	7	望舒		5846		49;40;34;255	
248	2	2	1	默认		5841		40;34;25;255	
249	2	2	2	蟾宫		5841		40;34;25;255	
250	2	2	3	秋练		5842		69;64;48;255	
251	2	2	4	玄烛		5843		89;64;63;255	
252	2	2	5	白露		5844		157;161;132;255	
253	2	2	6	琳琅		5845		89;90;80;255	
254	2	2	7	望舒		5846		49;40;34;255	
257	2	3	0	默认		5815		255;255;255;255	
258	2	3	1	卿暮		5784		161;115;92;255	
259	2	3	2	墨韵		5785		132;95;82;255	
260	2	3	3	云絮		5786		145;40;74;255	
262	2	3	5	惑心		5788		167;51;76;255	
267	2	3	10	百媚		5793		165;84;82;255	
268	2	3	11	幽楚		5794		143;96;80;255	
269	2	3	12	月下影		5838		125;91;83;255	
272	2	4	1	默认		5741		0;0;0;255	
273	2	4	2	青行		5741		0;0;0;255	
274	2	4	3	小篆		5742		0;0;0;255	
275	2	4	4	正楷		5743		0;0;0;255	
277	2	4	6	浅尝		5745		116;91;107;255	
279	2	4	8	沧浪		5747		0;0;0;255	
280	2	4	9	懵然		5748		0;0;0;255	
281	2	4	10	深泽		5749		0;0;0;255	
282	2	4	11	勾韵		5750		0;0;0;255	
283	2	4	12	华月		5751		0;0;0;255	
284	2	5	1	默认		5639		0;0;0;255	
285	2	5	2	小山眉		5639		0;0;0;255	
286	2	5	3	上挑眉		5640		0;0;0;255	
288	2	5	5	一字眉		5642		0;0;0;255	
289	2	5	6	秋娘眉		5643		0;0;0;255	
290	2	5	7	黛玉眉		5644		0;0;0;255	
291	2	5	8	巾帼眉		5645		0;0;0;255	
292	2	5	9	朴素眉		5646		0;0;0;255	
295	2	5	12	直眉		5649		0;0;0;255	
296	2	5	13	厚直眉		5650		0;0;0;255	
297	2	5	14	刚正眉		5651		0;0;0;255	
298	2	5	15	平直眉		5839		0;0;0;255	
306	2	6	0	默认		5815		255;255;255;255	
307	2	6	1	暖蓉		5548		240;140;124;255	
308	2	6	2	小雅		5549		222;131;122;255	
309	2	6	3	含羞		5550		230;146;122;255	
