ID	RoleType	Type	ShowID	Name	IconID	DefaultRGBA	Label
0	0	0	0	面部皮肤	0	255;255;255;255	0
1	1	0	1	面部皮肤·1		216;188;179;255	
2	1	0	2	面部皮肤·2		216;188;179;255	
3	1	0	3	面部皮肤·3		216;188;179;255	
4	1	0	4	面部皮肤·4		216;188;179;255	
5	1	0	5	面部皮肤·5		216;188;179;255	
6	1	1	1	默认	19673	134;116;109;255	
7	1	1	2	左虹膜·1	19673	134;116;109;255	
8	1	1	3	左虹膜·2	19674	67;43;53;255	
9	1	1	4	左虹膜·3	19675	174;163;166;255	
10	1	1	5	左虹膜·4	19676	178;184;178;255	
11	1	1	6	左虹膜·5	19677	90;39;17;255	
12	1	1	7	左虹膜·6	19678	161;162;160;255	
13	1	1	8	左虹膜·7	19679	150;108;70;255	
14	1	1	9	左虹膜·8	19680	161;162;160;255	
15	1	1	10	左虹膜·9	19681	155;148;151;255	
16	1	1	11	左虹膜·10	19682	112;110;106;255	
17	1	1	12	左虹膜·11	19683	112;110;106;255	
18	1	1	13	左虹膜·12	19684	112;110;106;255	
19	1	1	14	左虹膜·13	19685	95;87;83;255	
20	1	1	15	左虹膜·14	19686	150;108;70;255	
21	1	1	16	左虹膜·15	19687	150;108;70;255	
22	1	1	17	左虹膜·16	19688	23;134;159;255	
23	1	1	18	左虹膜·17	19689	148;71;87;255	
24	1	1	19	左虹膜·18	19690	173;116;173;255	
25	1	1	20	左虹膜·19	19691	166;161;144;255	
26	1	1	21	左虹膜·20	19692	46;156;156;255	
27	1	1	22	左虹膜·21	19693	101;173;178;255	
28	1	1	23	左虹膜·22	19694	94;115;81;255	
29	1	1	24	左虹膜·23	19695	77;134;124;255	
30	1	1	25	左虹膜·24	19696	67;12;41;255	
31	1	1	26	左虹膜·25	19697	139;108;141;255	
32	1	2	1	默认	19673	134;116;109;255	
33	1	2	2	右虹膜·1	19673	134;116;109;255	
34	1	2	3	右虹膜·2	19674	67;43;53;255	
35	1	2	4	右虹膜·3	19675	174;163;166;255	
36	1	2	5	右虹膜·4	19676	178;184;178;255	
37	1	2	6	右虹膜·5	19677	90;39;17;255	
38	1	2	7	右虹膜·6	19678	161;162;160;255	
39	1	2	8	右虹膜·7	19679	150;108;70;255	
40	1	2	9	右虹膜·8	19680	161;162;160;255	
41	1	2	10	右虹膜·9	19681	155;148;151;255	
42	1	2	11	右虹膜·10	19682	112;110;106;255	
43	1	2	12	右虹膜·11	19683	112;110;106;255	
44	1	2	13	右虹膜·12	19684	112;110;106;255	
45	1	2	14	右虹膜·13	19685	95;87;83;255	
46	1	2	15	右虹膜·14	19686	150;108;70;255	
47	1	2	16	右虹膜·15	19687	150;108;70;255	
48	1	2	17	右虹膜·16	19688	23;134;159;255	
49	1	2	18	右虹膜·17	19689	148;71;87;255	
50	1	2	19	右虹膜·18	19690	173;116;173;255	
51	1	2	20	右虹膜·19	19691	166;161;144;255	
52	1	2	21	右虹膜·20	19692	46;156;156;255	
53	1	2	22	右虹膜·21	19693	101;173;178;255	
54	1	2	23	右虹膜·22	19694	94;115;81;255	
55	1	2	24	右虹膜·23	19695	77;134;124;255	
56	1	2	25	右虹膜·24	19696	67;12;41;255	
57	1	2	26	右虹膜·25	19697	139;108;141;255	
58	1	3	1	默认	20012	140;100;88;255	
59	1	3	2	眉毛·1	20012	140;100;88;255	
60	1	3	3	眉毛·2	20013	140;100;88;255	
61	1	3	4	眉毛·3	20014	140;100;88;255	
62	1	3	5	眉毛·4	20015	140;100;88;255	
63	1	3	6	眉毛·5	20016	140;100;88;255	
64	1	3	7	眉毛·6	20017	140;100;88;255	
65	1	3	8	眉毛·7	20018	140;100;88;255	
66	1	3	9	眉毛·8	20019	140;100;88;255	
67	1	3	10	眉毛·9	20020	140;100;88;255	
68	1	3	11	眉毛·10	20021	140;100;88;255	
69	1	3	12	眉毛·11	20022	140;100;88;255	
70	1	3	13	眉毛·12	20023	140;100;88;255	
71	1	3	14	眉毛·13	20024	140;100;88;255	
72	1	3	15	眉毛·14	20025	140;100;88;255	
73	1	3	16	眉毛·15	20026	140;100;88;255	
74	1	3	17	眉毛·16	20027	140;100;88;255	
75	1	3	18	眉毛·17	20028	140;100;88;255	
76	1	3	19	眉毛·18	20029	140;100;88;255	
77	1	3	20	眉毛·19	20030	140;100;88;255	
78	1	3	21	眉毛·20	20031	140;100;88;255	
79	1	3	22	眉毛·21	20032	140;100;88;255	
80	1	3	23	眉毛·22	20033	140;100;88;255	
81	1	3	24	眉毛·23	20034	140;100;88;255	
82	1	3	25	眉毛·24	20035	140;100;88;255	
83	1	3	26	眉毛·25	20036	140;100;88;255	
84	1	3	27	眉毛·26	20037	140;100;88;255	
85	1	3	28	眉毛·27	20038	140;100;88;255	
86	1	3	29	眉毛·28	20039	140;100;88;255	
87	1	3	30	眉毛·29	20040	140;100;88;255	
88	1	3	31	眉毛·30	20041	140;100;88;255	
89	1	3	32	眉毛·31	20042	140;100;88;255	
90	1	3	33	眉毛·32	20043	140;100;88;255	
91	1	3	34	眉毛·33	20044	140;100;88;255	
