RoleType	Type	ShowID	ColorID	szName	fMax	fMin	fScale	fColorR	fColorG	fColorB	fColorA
1	0	7	1		1	1	0.3	0.552941	0.392157	0.345098	1
1	0	7	2		1	1	0.3	0.643137	0.364706	0.254902	1
1	1	1	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	1	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	1	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	1	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	1	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	1	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	1	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	1	8	ºÚ	3.25	0	3	0.403922	0.34902	0.392157	0.337255
1	1	1	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	1	2	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	2	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	2	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	2	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	2	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	2	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	2	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	2	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	2	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	1	2	10		0	0	0	0.270588	0.25098	0.188235	1
1	1	3	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	3	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	3	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	3	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	3	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	3	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	3	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	3	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	3	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	1	3	10		0	0	0	0.34902	0.25098	0.247059	1
1	1	4	1	ºì	1	0	1.5	0.858824	0.219608	0.219608	0.670588
1	1	4	2	³È	1	0	1.5	1	0.576471	0.34902	0.776471
1	1	4	3	ÂÌ	1	0	1.5	0.690196	0.741176	0.411765	1
1	1	4	4	Çà	1	0	1.5	0.447059	0.694118	0.658824	0.847059
1	1	4	5	À¶	1	0	1.5	0.580392	0.647059	0.921569	0.886275
1	1	4	6	×Ï	1	0	1.5	0.682353	0.592157	0.984314	0.831373
1	1	4	7	×Ïºì	1	0	1.5	0.956863	0.556863	0.854902	0.741176
1	1	4	8	ºÚ	1	0	1.5	0.403922	0.34902	0.392157	0.337255
1	1	4	9	°×	1	0.02	1.5	0.941176	0.913725	0.929412	0.74902
1	1	4	10		0	0	0	0.34902	0.352941	0.313726	1
1	1	5	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	5	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	5	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	5	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	5	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	5	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	5	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	5	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	5	9	°×	1.2	0.02	2.42	0.941176	0.913725	0.929412	0.74902
1	1	5	10		0	0	0	0.192157	0.156863	0.133333	1
1	1	6	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	6	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	6	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	6	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	6	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	6	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	6	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	6	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	6	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	1	6	10		0	0	0	0.478431	0.286275	0.12549	1
1	1	7	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	7	2	³È	2	0.3	1	1	0.576471	0.34902	0.776471
1	1	7	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	7	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	7	5	À¶	3.25	0	2	0.576471	0.647059	0.921569	0.886275
1	1	7	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	7	7	×Ïºì	3.25	0	1.5	0.956863	0.556863	0.854902	0.741176
1	1	7	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	7	9	°×	1	0.02	2	0.941176	0.913725	0.929412	0.74902
1	1	7	10		0	0	0	0.415686	0.411765	0.443137	1
1	1	8	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	8	2	³È	2	0	1.72	1	0.576471	0.34902	0.776471
1	1	8	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	8	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	8	5	À¶	3.25	0	2	0.576471	0.647059	0.921569	0.886275
1	1	8	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	8	7	×Ïºì	3.25	0	1.5	0.956863	0.556863	0.854902	0.741176
