ID	RoleType	LogicID	Name	Des	IconID	Label
0	0	0	0	0	0	0
0	1	0	默认		6690	
38	2	0	默认		6690	
62	5	0	默认		6690	
63	5	1	玫瑰花		6668	
64	5	2	勺·稚气		6669	
65	5	3	小龙虾		6671	
66	5	4	新绿		6670	
67	5	5	狗皮膏药		6689	
68	5	6	鱼骨头		6691	
69	5	7	殇颜		6709	
70	5	8	横秋		6706	
71	5	9	随风		6710	
72	5	10	绿水		6708	
73	5	11	涎蕊		6886	
74	5	12	银箍		6887	
75	5	13	白涛调		8087	
76	5	14	天地宽		8097	
77	5	15	一夜霜		8099	
78	5	16	筋斗云		8094	
79	5	17	斜照王门		8098	
80	5	18	风波海		8093	
81	5	19	王虐		8276	
82	5	20	临岳		8275	
83	5	21	景侯		8273	
84	5	22	白日蛇		8272	
85	5	23	九江骨		8274	
86	6	0	默认		6690	
