RoleType	Type	ShowID	ColorID	szName	fMax	fMin	fScale	fColorR	fColorG	fColorB	fColorA	fMetallicity	fRoughness	fValue1Min	fValue1Max	fValue2Min	fValue2Max	fValue3Min	fValue3Max	fValue4Min	fValue4Max	fValue5Min	fValue5Max	fValue6Min	fValue6Max	fValue7Min	fValue7Max	fValue8Min	fValue8Max	fValue9Min	fValue9Max	fParam0	fParam1	fParam2	fParam3	fParam4	fParam5	fParam6	fParam7	fParam8	fParam9	fParam10	fParam11	fParam12	fParam13	fParam14
0	0	0	1		0	1	0	0	0	0	0	1	1	0	1	0	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	1		1	1	0.48	0.98027	0.90483	0.715862	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	2		1	1	0.48	0.98027	0.799695	0.855161	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	3		1	1	0.5	0.951492	0.774197	0.972549	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	4		1	1	0.48	0.881575	0.648737	0.608988	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	5		1	1	0.5	0.802625	0.654398	0.496361	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2	1		1	1	0.48	0.98027	0.90483	0.715862	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2	2		1	1	0.48	0.98027	0.799695	0.855161	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2	3		1	1	0.5	0.951492	0.774197	0.972549	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2	4		1	1	0.48	0.881575	0.648737	0.608988	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2	5		1	1	0.5	0.802625	0.654398	0.496361	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	3	1		1	1	0.48	0.98027	0.90483	0.715862	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	3	2		1	1	0.48	0.98027	0.799695	0.855161	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	3	3		1	1	0.5	0.951492	0.774197	0.972549	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	3	4		1	1	0.48	0.881575	0.648737	0.608988	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	3	5		1	1	0.5	0.802625	0.654398	0.496361	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	4	1		1	1	0.48	0.98027	0.90483	0.715862	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	4	2		1	1	0.48	0.98027	0.799695	0.855161	1.4	0	1	0	0.7	0.8	1.2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
