TextureID	DecalID	IsBaseTetexture	DecalTextureType	MixMethod	DetailGenerationMethod	NeedRect	CopyAlpha	CopyAlphaFromTextureSuffix	ApplyRoughnessAndMetallicity	ForcedPasteMethod	BlendAlpha	BlendShadowAlpha	DefaultTexture
0	0	1	MainTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	_None
0	3	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
0	4	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
0	5	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
0	6	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
0	7	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	0	_None
0	9	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
0	-1	0	MainTexture	AllChannel	_None	0	0	.tga	0	0	1	1	_None
1	0	1	NormalTexture	AllChannel	_None	0	0	_mrs.tga	0	-1	0	0	_None
1	3	0	NormalTexture	AllChannel	_None	1	0	_mrs.tga	0	-1	0	0	_None
1	4	0	NormalTexture	AllChannel	_None	1	0	_mrs.tga	0	-1	0	0	_None
1	5	0	NormalTexture	AllChannel	_None	1	0	_mrs.tga	0	-1	0	0	_None
1	6	0	NormalTexture	AllChannel	_None	1	0	_mrs.tga	0	-1	0	0	_None
1	7	0	NormalTexture	AllChannel	_None	1	1	_mrs.tga	0	-1	0	0	_None
1	9	0	NormalTexture	AllChannel	_None	1	0	_mrs.tga	0	-1	0	0	_None
1	-1	0	NormalTexture	AllChannel	_None	0	0	_mrs.tga	0	0	0	0	_None
2	0	1	MRSTexture	AllChannel	_None	0	0	_mrs.tga	1	-1	0	0	_None
2	3	0	MRSTexture	AllChannel	_None	1	0	_mrs.tga	1	-1	0	0	_None
2	4	0	MRSTexture	AllChannel	_None	1	0	_mrs.tga	1	-1	0	0	_None
2	5	0	MRSTexture	AllChannel	_None	1	0	_mrs.tga	1	-1	0	0	_None
2	6	0	MRSTexture	AllChannel	_None	1	0	_mrs.tga	1	-1	0	0	_None
2	7	0	MRSTexture	AllChannel	_None	1	0	_mrs.tga	1	-1	0	0	_None
2	9	0	MRSTexture	AllChannel	_None	1	0	_mrs.tga	1	-1	0	0	_None
2	-1	0	MRSTexture	AllChannel	_None	0	0	_mrs.tga	1	0	0	0	_None
3	1	1	SecondaryTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	DefaultEyeDiffuse
3	1	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
3	8	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
4	2	1	SecondaryTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	DefaultEyeDiffuse
4	2	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
4	8	0	MainTexture	AllChannel	HD	1	0	.tga	0	-1	1	1	_None
5	8	1	SecondaryTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	DefaultEyelight
6	8	1	SecondaryTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	DefaultEyelight
7	-2	1	MainTexture	AllChannel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
7	10	0	MainTexture	B_Channel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
7	11	0	MainTexture	G_Channel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
7	7	0	SecondaryTexture	R_Channel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
7	12	0	MainTexture	A_Channel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
8	10	1	SecondaryTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	DefaultLipNoise
9	11	1	SecondaryTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	DefaultLipNormal
10	-2	1	MainTexture	AllChannel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
10	13	0	MainTexture	R_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
10	14	0	MainTexture	G_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
10	15	0	MainTexture	B_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
10	16	0	MainTexture	A_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
11	17	1	MainTexture	R_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowFlash
12	18	1	MainTexture	G_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowFlash
13	19	1	MainTexture	B_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowFlash
14	20	1	MainTexture	A_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowFlash
