DecalID	CustomDetail0	CustomDetail1	CustomDetail2
Base	_None	_None	_None
IrisLeft	_None	_None	_None
IrisRight	_None	_None	_None
Brow	Density	DetailScale	_None
Blush	Density	DeltaX	DeltaY
Moustache	Density	_None	_None
EyeLight	_None	_None	_None
Decal1	Density	DeltaX	DeltaY
Decal2	Density	DeltaX	DeltaY
Decal3	Density	DeltaX	DeltaY
LipGlossR	_None	_None	_None
LipFlashG	_None	_None	_None
LipOverlapB	_None	_None	_None
LipLightA	_None	_None	_None
Mouth	Density	Roughness	_None
EyeShadowR	_None	_None	_None
EyeShadowG	_None	_None	_None
EyeShadowB	_None	_None	_None
EyeShadowA	_None	_None	_None
EyeShadowFlashR	_None	_None	_None
EyeShadowFlashG	_None	_None	_None
EyeShadowFlashB	_None	_None	_None
EyeShadowFlashA	_None	_None	_None
Eyelash	DetailScale	Density	_None
EyeWhiteLeft	_None	_None	_None
EyeWhiteRight	_None	_None	_None
Shadow	Density	_None	_None
AegyoSal	Density	_None	_None
DoubleEyelid	Density	_None	_None
