RoleType	ID	Name	Mesh	Texture	Width	Height	IsHairSubset
1	1	Ãµ¹å»¨	data/source/item/face/M2_0001_HD.Mesh	data/source/item/face/Texture_HD/0001.tga	192	192	0
1	2	Ð¡ÁúÏº	data/source/item/face/M2_0003_HD.Mesh	data/source/item/face/Texture_HD/0003.tga	128	128	0
1	3	ºú×Ó	data/source/item/face/M2_0004_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_brown.tga	770	370	1
1	4	Ê÷Ö¦	data/source/item/face/M2_0006_HD.Mesh	data/source/item/face/Texture_HD/0006.tga	128	128	0
1	5	¹·Æ¤¸àÒ©	data/source/item/face/M2_0007_HD.Mesh	data/source/item/face/Texture_HD/0007.tga	32	32	0
1	6	°×ºúÐë	data/source/item/face/M2_0008_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_white.tga	770	370	1
1	7	Óã¹ÇÍ·	data/source/item/face/M2_0009_HD.Mesh	data/source/item/face/Texture_HD/0008.tga	64	32	0
1	8	ºÚºúÐë	data/source/item/face/M2_0008_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_black.tga	770	370	1
1	9	ºú.¸»¹ó	data/source/item/face/M2_0010_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_black.tga	770	370	1
1	10	ºú.µÀ¹Ç	data/source/item/face/M2_0011_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_black.tga	770	370	1
1	11	ºú.°Ë·Ö	data/source/item/face/M2_0012_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_black.tga	770	370	1
1	12	ºú.Ð¡Çð	data/source/item/face/M2_0013_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_black.tga	770	370	1
1	13	ºú.¹´Î²	data/source/item/face/M2_0014_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_black.tga	770	370	1
1	14	ºú.ÂäËª	data/source/item/face/M2_0015_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_white.tga	770	370	1
1	15	ºú.Ñà¸ê	data/source/item/face/M2_0016_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_black.tga	770	370	1
1	16	ºú.µÃµÀ	data/source/item/face/M2_0017_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_white.tga	770	370	1
1	17	ºú.ÏÉ·ç	data/source/item/face/M2_0018_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_white.tga	770	370	1
1	18	ºú.°Ë·Ö<°×>	data/source/item/face/M2_0019_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_white.tga	770	370	1
1	19	éäÑÕ	data/source/item/face/M2_0020_HD.Mesh	data/source/item/face/Texture_HD/0020.tga	128	128	0
1	20	ºáÇï	data/source/item/face/M2_0021_HD.Mesh	data/source/item/face/Texture_HD/0021.tga	64	128	0
1	21	Ëæ·ç	data/source/item/face/M2_0022_HD.Mesh	data/source/item/face/Texture_HD/0022.tga	64	128	0
1	22	ÂÌË®	data/source/item/face/M2_0023_HD.Mesh	data/source/item/face/Texture_HD/0023.tga	192	192	0
1	23	ÏÑÈï	data/source/item/face/M2_0024_HD.Mesh	data/source/item/face/Texture/F0013.tga	128	128	0
1	24	ÖÐµä	data/source/item/face/M2_0025_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_brown.tga	770	370	1
1	25	ºñÈù	data/source/item/face/M2_0026_HD.Mesh	data/source/item/face/Texture_HD/M2_beard_brown.tga	770	370	1
1	26	Òø¹¿	data/source/item/face/M2_0027_HD.Mesh	data/source/item/face/Texture_HD/0027.tga	256	256	0
1	27	°×ÌÎµ÷	data/source/item/face/M2_0029_HD.Mesh	data/source/item/face/Texture_HD/0029.tga	256	128	0
1	28	ÌìµØ¿í	data/source/item/face/M2_0032_HD.Mesh	data/source/item/face/Texture_HD/0032.tga	256	128	0
1	29	Ò»Ò¹Ëª	data/source/item/face/M2_0033_HD.Mesh	data/source/item/face/Texture_HD/0033.tga	256	128	0
1	30	½î¶·ÔÆ	data/source/item/face/M2_0035_HD.Mesh	data/source/item/face/Texture_HD/0035.tga	256	128	0
1	31	Ð±ÕÕÍõÃÅ	data/source/item/face/M2_0038_HD.Mesh	data/source/item/face/Texture_HD/0038.tga	256	128	0
1	32	·ç²¨º£	data/source/item/face/M2_0040_HD.Mesh	data/source/item/face/Texture_HD/0040M2.tga	256	128	0
1	33	ÍõÅ°	data/source/item/face/M2_0041_HD.Mesh	data/source/item/face/Texture_HD/0041M2.tga	256	128	0
1	34	ÁÙÔÀ	data/source/item/face/M2_0042_HD.Mesh	data/source/item/face/Texture_HD/0040.tga	128	64	0
1	35	¾°ºî	data/source/item/face/M2_0043_HD.Mesh	data/source/item/face/Texture_HD/0042.tga	128	64	0
1	36	°×ÈÕÉß	data/source/item/face/M2_0044_HD.Mesh	data/source/item/face/Texture_HD/0044M2.tga	256	128	0
1	37	¾Å½­¹Ç	data/source/item/face/M2_0045_HD.Mesh	data/source/item/face/Texture_HD/0045M2.tga	256	128	0
2	1	Ãµ¹å»¨	data/source/item/face/F2_0001_HD.Mesh	data/source/item/face/Texture_HD/0001.tga	192	192	0
2	2	Ð¡ÁúÏº	data/source/item/face/F2_0003_HD.Mesh	data/source/item/face/Texture_HD/0003.tga	128	128	0
2	3	±Ç»·	data/source/item/face/F2_0005_HD.Mesh	data/source/item/face/Texture_HD/0005.tga	192	128	0
2	4	Ê÷Ö¦	data/source/item/face/F2_0006_HD.Mesh	data/source/item/face/Texture_HD/0006.tga	128	128	0
2	5	¹·Æ¤¸àÒ©	data/source/item/face/F2_0007_HD.Mesh	data/source/item/face/Texture_HD/0007.tga	32	32	0
2	6	Óã¹ÇÍ·	data/source/item/face/F2_0009_HD.Mesh	data/source/item/face/Texture_HD/0008.tga	64	32	0
2	7	éäÑÕ	data/source/item/face/F2_0020_HD.Mesh	data/source/item/face/Texture_HD/0020.tga	128	128	0
2	8	ºáÇï	data/source/item/face/F2_0021_HD.Mesh	data/source/item/face/Texture_HD/0021.tga	64	128	0
2	9	Ëæ·ç	data/source/item/face/F2_0022_HD.Mesh	data/source/item/face/Texture_HD/0022.tga	64	128	0
2	10	ÂÌË®	data/source/item/face/F2_0023_HD.Mesh	data/source/item/face/Texture_HD/0023.tga	192	192	0
2	11	ÏÑÈï	data/source/item/face/F2_0024_HD.Mesh	data/source/item/face/Texture/F0013.tga	128	128	0
2	12	»¨Ã¼	data/source/item/face/F2_0028_HD.Mesh	data/source/item/face/Texture_HD/0017.tga	256	256	0
2	13	»¨Õ´¶î	data/source/item/face/F2_0030_HD.Mesh	data/source/item/face/Texture_HD/0030.tga	256	128	0
2	14	ÁðÁ§±ÌÖé	data/source/item/face/F2_0031_HD.Mesh	data/source/item/face/Texture_HD/0031.tga	256	128	0
2	15	ÇåÏþ·âËª	data/source/item/face/F2_0034_HD.Mesh	data/source/item/face/Texture_HD/0034.tga	256	128	0
