ID	Name	NameCH	Min	Max	HighlightModel
0	BodyHeight	身高	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_body_HD.mesh
1	HeadSize	头部大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_head_HD.mesh
2	NeckLength	脖子长度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_neck_HD.mesh
3	NeckSize	脖子粗细	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_neck_HD.mesh
4	ShoulderWidth	肩膀宽度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_shoulder_HD.mesh
5	ShoulderThick	肩膀厚度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_shoulder_HD.mesh
6	ChestWidth	胸部宽度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_chest_HD.mesh
7	ChestThick	胸部厚度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_chest_HD.mesh
8	LoinWidth	腰部宽度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_loin_HD.mesh
9	LoinThick	腰部厚度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_loin_HD.mesh
10	LoinUpDown	腰部上下位置	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_loin_HD.mesh
11	BellyWidth	腹部宽度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_belly_HD.mesh
12	BellyThick	腹部厚度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_belly_HD.mesh
13	HipWidth	髋部宽度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_hip_HD.mesh
14	HipThick	髋部厚度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_hip_HD.mesh
15	LegSize	整体腿长	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_leg_HD.mesh
16	UpperThighSize	大腿上部大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_thigh_HD.mesh
17	LowerThighSize	大腿下部大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_thigh_HD.mesh
18	CalfSize	小腿大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_calf_HD.mesh
19	ArmSize	整体手臂大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_arm_HD.mesh
20	UpperArmSize	上臂大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_upperarm_HD.mesh
21	UpperForearmSize	前臂上部大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_forearm_HD.mesh
22	LowerForearmSize	前臂下部大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_forearm_HD.mesh
23	HandSize	手掌大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_hand_HD.mesh
24	FootSize	脚掌大小	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_foot_HD.mesh
25	BreastSize	乳房大小	-50	50	
26	BreastAngle	乳房角度	-50	50	
27	FingerLength	手指长度	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_finger_HD.mesh
28	FingerSize	手指粗细	-50	50	data/public/BodyReshaping/F1/部件/F1_parts_finger_HD.mesh
29	HemlineSize	裙摆大小	-50	50	
