RoleType	Type	ShowID	ColorID	szName	fMax	fMin	fScale	fColorR	fColorG	fColorB	fColorA
1	0	7	1		1	0	0	0	0	0	1
1	0	8	1		1	0	0	0	0	0	1
1	0	9	1		1	0	0	0	0	0	1
1	1	1	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	1	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	1	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	1	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	1	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	1	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	1	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	1	8	ºÚ	3.25	0	3	0.403922	0.34902	0.392157	0.337255
1	1	1	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	1	1	10	·Û	1.2	0.1	2.8	0.819669	0.558846	0.543816	0.74902
1	1	1	11	½ð	1.2	0.1	2.8	0.937255	0.729839	0.18024	0.74902
1	1	1	12	Í¸À¶	1.2	0.1	2.8	0.306432	0.745953	0.885252	0.74902
1	1	1	13	¹ûÂÌ	1.2	0.1	3.03	0.46775	0.717647	0.296712	0.74902
1	1	1	14	Ãµºì	1.2	0.1	2.8	0.759564	0.290547	0.456657	0.74902
1	1	2	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	2	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	2	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	2	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	2	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	2	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	2	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	2	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	2	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	1	2	10	·Û	1.2	0.1	2.8	0.819669	0.558846	0.543816	0.74902
1	1	2	11	½ð	1.2	0.1	2.8	0.937255	0.729839	0.18024	0.74902
1	1	2	12	Í¸À¶	1.2	0.1	2.8	0.306432	0.745953	0.885252	0.74902
1	1	2	13	¹ûÂÌ	1.2	0.1	3.03	0.46775	0.717647	0.296712	0.74902
1	1	2	14	Ãµºì	1.2	0.1	2.8	0.759564	0.290547	0.456657	0.74902
1	1	3	1	ºì	3.25	0	2	0.858824	0.219608	0.219608	0.670588
1	1	3	2	³È	3.25	0	2	1	0.576471	0.34902	0.776471
1	1	3	3	ÂÌ	3.25	0	2	0.690196	0.741176	0.411765	1
1	1	3	4	Çà	3.25	0	2	0.447059	0.694118	0.658824	0.847059
1	1	3	5	À¶	3.25	0	2	0.580392	0.647059	0.921569	0.886275
1	1	3	6	×Ï	3.25	0	2	0.682353	0.592157	0.984314	0.831373
1	1	3	7	×Ïºì	3.25	0	2	0.956863	0.556863	0.854902	0.741176
1	1	3	8	ºÚ	3.25	0	1	0.403922	0.34902	0.392157	0.341176
1	1	3	9	°×	1.2	0.02	3.03	0.941176	0.913725	0.929412	0.74902
1	1	3	10	·Û	1.2	0.1	1.2	1	0.732235	0.748211	0.74902
1	1	3	11	½ð	1.2	0.1	1.2	0.989075	0.79527	0.302663	0.74902
1	1	3	12	Í¸À¶	1.2	0.1	1.2	0.219898	0.737881	0.846998	0.74902
1	1	3	13	¹ûÂÌ	1.2	0.1	1.2	0.582773	0.852461	0.298131	0.74902
