RoleType	Type	ShowID	FileName	Annotate	PosX	PosY	Width	Height	NeedMirror	MirrorAxis	MirrorValue	PasteMethod	NeedShadow	NeedFlip	SecondaryTexture
1	0	1	data\source\Player\M2\部件\Texture\face\M2_捏脸基本贴图_001.tga	M2捏脸基本贴图1	0	0	0	0	0	0	256	0	0	0	
1	0	2	data\source\Player\M2\部件\Texture\face\M2_捏脸基本贴图_002.tga	M2捏脸基本贴图2	0	0	0	0	0	0	256	0	0	0	
1	0	3	data\source\Player\M2\部件\Texture\face\M2_捏脸基本贴图_003.tga	M2捏脸基本贴图3	0	0	0	0	0	0	256	0	0	0	
1	0	4	data\source\Player\M2\部件\Texture\face\M2_捏脸基本贴图_004.tga	M2捏脸基本贴图4	0	0	0	0	0	0	256	0	0	0	
1	0	5	data\source\Player\M2\部件\Texture\face\M2_捏脸基本贴图_005.tga	M2捏脸基本贴图5	0	0	0	0	0	0	256	0	0	0	
1	0	6	data\source\Player\M2\部件\Texture\face\M2_捏脸基本贴图_006.tga	M2捏脸基本贴图6	0	0	0	0	0	0	256	0	0	0	
1	0	7	data\source\player\M2\部件\Texture\face\M2_捏脸基本贴图_007.tga	M2捏脸基本贴图7	0	0	512	512	0	0	256	0	0	0	
1	0	8	data\source\player\M2\部件\Texture\face\M2_捏脸基本贴图_008.tga	M2捏脸基本贴图8	0	0	512	512	0	0	256	0	0	0	
1	0	9	data\source\player\M2\部件\Texture\face\M2_捏脸基本贴图_009.tga	M2捏脸基本贴图8	0	0	512	512	0	0	256	0	0	0	
1	1	1	data\source\player\m2\部件\texture\face\m2_瞳孔001.tga	[默认]M2左瞳孔虹膜1	0	192	96	96	0	0	256	1	0	0	
1	1	2	data\source\player\m2\部件\texture\face\m2_瞳孔001.tga	M2左瞳孔虹膜1	0	192	96	96	0	0	256	1	0	0	
1	1	3	data\source\player\f2\部件\texture\face\f2_瞳孔002.tga	M2左瞳孔虹膜2	0	192	96	96	0	0	256	1	0	0	
1	1	4	data\source\player\f2\部件\texture\face\f2_瞳孔003.tga	M2左瞳孔虹膜3	0	192	96	96	0	0	256	1	0	0	
1	1	5	data\source\player\m2\部件\texture\face\m2_瞳孔004.tga	M2左瞳孔虹膜4	0	192	96	96	0	0	256	1	0	0	
