RoleType	Type	ShowID	FileName	Annotate	PosX	PosY	Width	Height	NeedMirror	MirrorAxis	MirrorValue	PasteMethod	NeedShadow	NeedFlip	HasNormal	HasMRS	HasShadowNormal	HasShadowMRS	HasEyelightTexture	EyelightTexture
1	0	1	Data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_001.tga	M2捏脸基本贴图1	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	0	2	data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_002.tga	M2捏脸基本贴图2	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	0	3	Data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_003.tga	M2捏脸基本贴图3	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	0	4	data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_004.tga	M2捏脸基本贴图4	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	0	5	data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_005.tga	M2捏脸基本贴图5	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	0	6	data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_006.tga	M2捏脸基本贴图6	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	0	7	data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_002.tga	M2捏脸基本贴图7	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	0	8	data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_002.tga	M2捏脸基本贴图7	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	0	9	Data\source\player\M2\部件\M2裸体模型\face\M2_捏脸基本贴图_001.tga	M2捏脸基本贴图9	0	0	1024	1024	0	0	256	0	0	0	1	1	0	0	0	
1	1	1	Data\source\player\M2\部件\M2裸体模型\face\M2_瞳孔001.tga	[默认]M2左瞳孔虹膜1	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse001.tga
1	1	2	data\source\player\M2\部件\M2裸体模型\face\M2_瞳孔001.tga	M2左瞳孔虹膜1	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse001.tga
1	1	3	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔002.tga	M2左瞳孔虹膜2	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse002.tga
1	1	4	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔003.tga	M2左瞳孔虹膜3	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse003.tga
1	1	5	data\source\player\M2\部件\M2裸体模型\face\M2_瞳孔004.tga	M2左瞳孔虹膜4	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse004.tga
1	1	6	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔005.tga	M2左瞳孔虹膜5	64	64	128	128	0	0	512	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse005.tga
1	1	7	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔006.tga	M2左瞳孔虹膜6	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse006.tga
1	1	8	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔007.tga	M2左瞳孔虹膜7	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse007.tga
1	1	9	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔008.tga	M2左瞳孔虹膜8	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse008.tga
1	1	10	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔009.tga	M2左瞳孔虹膜9	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse009.tga
1	1	11	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔010.tga	M2左瞳孔虹膜10	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse010.tga
1	1	12	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔011.tga	M2左瞳孔虹膜11	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse011.tga
1	1	13	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔012.tga	M2左瞳孔虹膜12	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse012.tga
1	1	14	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔013.tga	M2左瞳孔虹膜13	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse013.tga
1	1	15	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔014.tga	M2左瞳孔虹膜14	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse014.tga
1	1	16	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔015.tga	M2左瞳孔虹膜15	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse015.tga
1	1	17	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔016.tga	M2左瞳孔虹膜16	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse016.tga
1	2	1	data\source\player\M2\部件\M2裸体模型\face\M2_瞳孔001.tga	[默认]M2右瞳孔虹膜1	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse001.tga
1	2	2	data\source\player\M2\部件\M2裸体模型\face\M2_瞳孔001.tga	M2右瞳孔虹膜1	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse001.tga
1	2	3	data\source\player\F2\部件\F2裸体模型\face\F2_瞳孔002.tga	M2右瞳孔虹膜2	64	64	128	128	0	0	256	1	0	0	0	0	0	0	1	data\source\player\F2\部件\F2裸体模型\face\EyeDiffuse002.tga
