RoleType	ID	Name	Mesh	Texture	Width	Height
1	1	Ãµ¹å»¨	data/source/item/face/M2_0001.Mesh	data/source/item/face/Texture/0001.tga	192	192
1	2	Ğ¡ÁúÏº	data/source/item/face/M2_0003.Mesh	data/source/item/face/Texture/0002.tga	384	128
1	3	ºú×Ó	data/source/item/face/M2_0004.Mesh	data/source/item/face/Texture/0002.tga	384	128
1	4	Ê÷Ö¦	data/source/item/face/M2_0006.Mesh	data/source/item/face/Texture/0006.tga	128	128
1	5	¹·Æ¤¸àÒ©	data/source/item/face/M2_0007.Mesh	data/source/item/face/Texture/0007.tga	256	128
1	6	°×ºúĞë	data/source/item/face/M2_0008.Mesh	data/source/item/face/Texture/0007.tga	256	128
1	7	Óã¹ÇÍ·	data/source/item/face/M2_0009.Mesh	data/source/item/face/Texture/0007.tga	256	128
1	8	ºÚºúĞë	data/source/item/face/M2_0008.Mesh	data/source/item/face/Texture/0008.tga	256	128
1	9	ºú.¸»¹ó	data/source/item/face/M2_0010.Mesh	data/source/item/face/Texture/0010.tga	384	192
1	10	ºú.µÀ¹Ç	data/source/item/face/M2_0011.Mesh	data/source/item/face/Texture/0010.tga	384	192
1	11	ºú.°Ë·Ö	data/source/item/face/M2_0012.Mesh	data/source/item/face/Texture/0010.tga	384	192
1	12	ºú.Ğ¡Çğ	data/source/item/face/M2_0013.Mesh	data/source/item/face/Texture/0010.tga	384	192
1	13	ºú.¹´Î²	data/source/item/face/M2_0014.Mesh	data/source/item/face/Texture/0011.tga	384	192
1	14	ºú.ÂäËª	data/source/item/face/M2_0015.Mesh	data/source/item/face/Texture/0011.tga	384	192
1	15	ºú.Ñà¸ê	data/source/item/face/M2_0016.Mesh	data/source/item/face/Texture/0011.tga	384	192
1	16	ºú.µÃµÀ	data/source/item/face/M2_0017.Mesh	data/source/item/face/Texture/0013.tga	384	192
1	17	ºú.ÏÉ·ç	data/source/item/face/M2_0018.Mesh	data/source/item/face/Texture/0013.tga	384	192
1	18	ºú.°Ë·Ö<°×>	data/source/item/face/M2_0019.Mesh	data/source/item/face/Texture/0013.tga	384	192
1	19	éäÑÕ	data/source/item/face/M2_0020.Mesh	data/source/item/face/Texture/0012.tga	384	192
1	20	ºáÇï	data/source/item/face/M2_0021.Mesh	data/source/item/face/Texture/0012.tga	384	192
1	21	Ëæ·ç	data/source/item/face/M2_0022.Mesh	data/source/item/face/Texture/0012.tga	384	192
1	22	ÂÌË®	data/source/item/face/M2_0023.Mesh	data/source/item/face/Texture/0012.tga	384	192
1	23	ÏÑÈï	data/source/item/face/M2_0024.Mesh	data/source/item/face/Texture/F0013.tga	128	128
1	24	ÖĞµä	data/source/item/face/M2_0025.Mesh	data/source/item/face/Texture/F0014.tga	128	128
1	25	ºñÈù	data/source/item/face/M2_0026.Mesh	data/source/item/face/Texture/F0015.tga	128	128
1	26	Òø¹¿	data/source/item/face/M2_0027.Mesh	data/source/item/face/Texture/F0016.tga	128	128
1	27	°×ÌÎµ÷	data/source/item/face/M2_0029.Mesh	data/source/item/face/Texture/F0018.tga	256	128
1	28	ÌìµØ¿í	data/source/item/face/M2_0032.Mesh	data/source/item/face/Texture/F0021.tga	256	128
1	29	Ò»Ò¹Ëª	data/source/item/face/M2_0033.Mesh	data/source/item/face/Texture/F0022.tga	256	128
1	30	½î¶·ÔÆ	data/source/item/face/M2_0035.Mesh	data/source/item/face/Texture/F0024.tga	256	128
1	31	Ğ±ÕÕÍõÃÅ	data/source/item/face/M2_0038.Mesh	data/source/item/face/Texture/F0027.tga	256	128
1	32	·ç²¨º£	data/source/item/face/M2_0040.Mesh	data/source/item/face/Texture/F0029.tga	256	128
1	33	ÍõÅ°	data/source/item/face/M2_0041.Mesh	data/source/item/face/Texture/F0032.tga	256	128
1	34	ÁÙÔÀ	data/source/item/face/M2_0042.Mesh	data/source/item/face/Texture/F0031.tga	256	128
1	35	¾°ºî	data/source/item/face/M2_0043.Mesh	data/source/item/face/Texture/F0031.tga	256	128
1	36	°×ÈÕÉß	data/source/item/face/M2_0044.Mesh	data/source/item/face/Texture/F0034.tga	117	190
1	37	¾Å½­¹Ç	data/source/item/face/M2_0045.Mesh	data/source/item/face/Texture/F0033.tga	256	128
2	1	Ãµ¹å»¨	data/source/item/face/F2_0001.Mesh	data/source/item/face/Texture/0001.tga	192	192
2	2	Ğ¡ÁúÏº	data/source/item/face/F2_0003.Mesh	data/source/item/face/Texture/0002.tga	384	128
2	3	±Ç»·	data/source/item/face/F2_0005.Mesh	data/source/item/face/Texture/0002.tga	384	128
2	4	Ê÷Ö¦	data/source/item/face/F2_0006.Mesh	data/source/item/face/Texture/0006.tga	128	128
2	5	¹·Æ¤¸àÒ©	data/source/item/face/F2_0007.Mesh	data/source/item/face/Texture/0007.tga	256	128
2	6	Óã¹ÇÍ·	data/source/item/face/F2_0009.Mesh	data/source/item/face/Texture/0007.tga	256	128
2	7	éäÑÕ	data/source/item/face/F2_0020.Mesh	data/source/item/face/Texture/0012.tga	384	192
2	8	ºáÇï	data/source/item/face/F2_0021.Mesh	data/source/item/face/Texture/0012.tga	384	192
2	9	Ëæ·ç	data/source/item/face/F2_0022.Mesh	data/source/item/face/Texture/0012.tga	384	192
2	10	ÂÌË®	data/source/item/face/F2_0023.Mesh	data/source/item/face/Texture/0012.tga	384	192
2	11	ÏÑÈï	data/source/item/face/F2_0024.Mesh	data/source/item/face/Texture/F0013.tga	128	128
2	12	»¨Ã¼	data/source/item/face/F2_0028.Mesh	data/source/item/face/Texture/F0017.tga	128	128
2	13	»¨Õ´¶î	data/source/item/face/F2_0030.Mesh	data/source/item/face/Texture/F0019.tga	256	128
2	14	ÁğÁ§±ÌÖé	data/source/item/face/F2_0031.Mesh	data/source/item/face/Texture/F0020.tga	256	128
2	15	ÇåÏş·âËª	data/source/item/face/F2_0034.Mesh	data/source/item/face/Texture/F0023.tga	256	128
2	16	°ÙµşËªÂŞ	data/source/item/face/F2_0036.Mesh	data/source/item/face/Texture/F0025.tga	256	128
2	17	×Ï´äÏã³¾	data/source/item/face/F2_0037.Mesh	data/source/item/face/Texture/F0026.tga	256	128
2	18	±¦×º²ÃÑş	data/source/item/face/F2_0039.Mesh	data/source/item/face/Texture/F0028.tga	256	128
2	19	ÁÙÔÀ	data/source/item/face/F2_0040.Mesh	data/source/item/face/Texture/F0031.tga	256	128
2	20	°×ÈÕÉß	data/source/item/face/F2_0041.Mesh	data/source/item/face/Texture/F0034.tga	117	190
2	21	¾°ºî	data/source/item/face/F2_0042.Mesh	data/source/item/face/Texture/F0031.tga	256	128
2	22	¾Å½­¹Ç	data/source/item/face/F2_0043.Mesh	data/source/item/face/Texture/F0033.tga	256	128
2	23	ÍõÅ°	data/source/item/face/F2_0044.Mesh	data/source/item/face/Texture/F0032.tga	256	128
5	1	Ãµ¹å»¨	data/source/item/face/M1_0001.Mesh	data/source/item/face/Texture/0001.tga	192	192
5	2	É××Ó	data/source/item/face/M1_0002.Mesh	data/source/item/face/Texture/0002.tga	384	128
5	3	Ğ¡ÁúÏº	data/source/item/face/M1_0003.Mesh	data/source/item/face/Texture/0002.tga	384	128
5	4	Ê÷Ö¦	data/source/item/face/M1_0006.Mesh	data/source/item/face/Texture/0006.tga	128	128
5	5	¹·Æ¤¸àÒ©	data/source/item/face/M1_0007.Mesh	data/source/item/face/Texture/0007.tga	256	128
5	6	Óã¹ÇÍ·	data/source/item/face/M1_0009.Mesh	data/source/item/face/Texture/0007.tga	256	128
5	7	éäÑÕ	data/source/item/face/M1_0020.Mesh	data/source/item/face/Texture/0012.tga	384	192
5	8	ºáÇï	data/source/item/face/M1_0021.Mesh	data/source/item/face/Texture/0012.tga	384	192
5	9	Ëæ·ç	data/source/item/face/M1_0022.Mesh	data/source/item/face/Texture/0012.tga	384	192
5	10	ÂÌË®	data/source/item/face/M1_0023.Mesh	data/source/item/face/Texture/0012.tga	384	192
5	11	ÏÑÈï	data/source/item/face/M1_0024.Mesh	data/source/item/face/Texture/F0013.tga	128	128
5	12	Òø¹¿	data/source/item/face/M1_0027.Mesh	data/source/item/face/Texture/F0016.tga	128	128
5	13	°×ÌÎµ÷	data/source/item/face/M1_0029.Mesh	data/source/item/face/Texture/F0018.tga	256	128
5	14	ÌìµØ¿í	data/source/item/face/M1_0032.Mesh	data/source/item/face/Texture/F0021.tga	256	128
5	15	Ò»Ò¹Ëª	data/source/item/face/M1_0033.Mesh	data/source/item/face/Texture/F0022.tga	256	128
5	16	½î¶·ÔÆ	data/source/item/face/M1_0035.Mesh	data/source/item/face/Texture/F0024.tga	256	128
5	17	Ğ±ÕÕÍõÃÅ	data/source/item/face/M1_0038.Mesh	data/source/item/face/Texture/F0027.tga	256	128
5	18	·ç²¨º£	data/source/item/face/M1_0040.Mesh	data/source/item/face/Texture/F0029.tga	256	128
5	19	ÍõÅ°	data/source/item/face/M1_0041.Mesh	data/source/item/face/Texture/F0032.tga	256	128
5	20	ÁÙÔÀ	data/source/item/face/M1_0042.Mesh	data/source/item/face/Texture/F0031.tga	256	128
5	21	¾°ºî	data/source/item/face/M1_0043.Mesh	data/source/item/face/Texture/F0031.tga	256	128
5	22	°×ÈÕÉß	data/source/item/face/M1_0044.Mesh	data/source/item/face/Texture/F0034.tga	117	190
5	23	¾Å½­¹Ç	data/source/item/face/M1_0045.Mesh	data/source/item/face/Texture/F0033.tga	256	128
6	1	Ãµ¹å»¨	data/source/item/face/F1_0001.Mesh	data/source/item/face/Texture/0001.tga	192	192
6	2	É××Ó	data/source/item/face/F1_0002.Mesh	data/source/item/face/Texture/0002.tga	384	128
6	3	Ğ¡ÁúÏº	data/source/item/face/F1_0003.Mesh	data/source/item/face/Texture/0002.tga	384	128
6	4	±Ç»·	data/source/item/face/F1_0005.Mesh	data/source/item/face/Texture/0002.tga	384	128
6	5	Ê÷Ö¦	data/source/item/face/F1_0006.Mesh	data/source/item/face/Texture/0006.tga	128	128
6	6	¹·Æ¤¸àÒ©	data/source/item/face/F1_0007.Mesh	data/source/item/face/Texture/0007.tga	256	128
6	7	Óã¹ÇÍ·	data/source/item/face/F1_0009.Mesh	data/source/item/face/Texture/0007.tga	256	128
6	8	éäÑÕ	data/source/item/face/F1_0020.Mesh	data/source/item/face/Texture/0012.tga	384	192
6	9	ºáÇï	data/source/item/face/F1_0021.Mesh	data/source/item/face/Texture/0012.tga	384	192
6	10	Ëæ·ç	data/source/item/face/F1_0022.Mesh	data/source/item/face/Texture/0012.tga	384	192
6	11	ÂÌË®	data/source/item/face/F1_0023.Mesh	data/source/item/face/Texture/0012.tga	384	192
6	12	ÏÑÈï	data/source/item/face/F1_0024.Mesh	data/source/item/face/Texture/F0013.tga	128	128
6	13	»¨Ã¼	data/source/item/face/F1_0028.Mesh	data/source/item/face/Texture/F0017.tga	128	128
6	14	»¨Õ´¶î	data/source/item/face/F1_0030.Mesh	data/source/item/face/Texture/F0019.tga	256	128
6	15	ÁğÁ§±ÌÖé	data/source/item/face/F1_0031.Mesh	data/source/item/face/Texture/F0020.tga	256	128
6	16	ÇåÏş·âËª	data/source/item/face/F1_0034.Mesh	data/source/item/face/Texture/F0023.tga	256	128
6	17	°ÙµşËªÂŞ	data/source/item/face/F1_0036.Mesh	data/source/item/face/Texture/F0025.tga	256	128
6	18	×Ï´äÏã³¾	data/source/item/face/F1_0037.Mesh	data/source/item/face/Texture/F0026.tga	256	128
6	19	±¦×º²ÃÑş	data/source/item/face/F1_0039.Mesh	data/source/item/face/Texture/F0028.tga	256	128
6	20	ÁÙÔÀ	data/source/item/face/F1_0040.Mesh	data/source/item/face/Texture/F0031.tga	256	128
6	21	°×ÈÕÉß	data/source/item/face/F1_0041.Mesh	data/source/item/face/Texture/F0034.tga	117	190
6	22	¾°ºî	data/source/item/face/F1_0042.Mesh	data/source/item/face/Texture/F0031.tga	256	128
6	23	¾Å½­¹Ç	data/source/item/face/F1_0043.Mesh	data/source/item/face/Texture/F0033.tga	256	128
6	24	ÍõÅ°	data/source/item/face/F1_0044.Mesh	data/source/item/face/Texture/F0032.tga	256	128
