TextureID	DecalID	IsBaseTetexture	DecalTextureType	MixMethod	DetailGenerationMethod	NeedRect	CopyAlpha	CopyAlphaFromTextureSuffix	ApplyRoughnessAndMetallicity	ForcedPasteMethod	BlendAlpha	BlendShadowAlpha	DefaultTexture
0	0	1	MainTexture	AllChannel	_None	0	0	.tga	0	-1	0	0	_None
0	1	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	2	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	3	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	4	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	5	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	6	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	7	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	8	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	9	0	MainTexture	AllChannel	SD	1	0	.tga	0	-1	0	0	_None
0	-1	0	MainTexture	AllChannel	_None	0	0	.tga	0	0	0	0	_None
1	-2	1	MainTexture	AllChannel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
1	10	0	MainTexture	B_Channel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
1	11	0	MainTexture	G_Channel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
1	7	0	SecondaryTexture	R_Channel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
1	12	0	MainTexture	A_Channel	_None	0	0	.tga	0	0	0	0	DefaultLipMask
2	10	1	SecondaryTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	DefaultLipNoise
3	11	1	SecondaryTexture	AllChannel	_None	0	0	.tga	0	-1	1	1	DefaultLipNormal
4	-2	1	MainTexture	AllChannel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
4	13	0	MainTexture	R_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
4	14	0	MainTexture	G_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
4	15	0	MainTexture	B_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
4	16	0	MainTexture	A_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowMask
5	17	1	MainTexture	R_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowFlash
6	18	1	MainTexture	G_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowFlash
7	19	1	MainTexture	B_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowFlash
8	20	1	MainTexture	A_Channel	_None	0	0	.tga	0	0	0	0	DefaultEyeShadowFlash
