RoleType	Type	ShowID	FileName	Annotate	PosX	PosY	Width	Height	NeedMirror	MirrorAxis	MirrorValue	PasteMethod	NeedShadow	NeedFlip	HasNormal	HasMRS	HasShadowNormal	HasShadowMRS	HasEyelightTexture	EyelightTexture
1	0	1	data\source\player\M2\部件\M2裸体模型\facemeta\M2_meta捏脸基本贴图_001.tga	M2_Meta的一小步	0	0	1024	1024	0	0	0	0	0	0	1	1	0	0	1	data\source\player\M2\部件\M2裸体模型\facemeta\M2_metadetail_001_nor.tga
1	0	2	data\source\player\M2\部件\M2裸体模型\facemeta\M2_meta捏脸基本贴图_002.tga	M2_Meta的一小步	0	0	1024	1024	0	0	0	0	0	0	1	1	0	0	1	data\source\player\M2\部件\M2裸体模型\facemeta\M2_metadetail_001_nor.tga
1	0	3	data\source\player\M2\部件\M2裸体模型\facemeta\M2_meta捏脸基本贴图_003.tga	M2_Meta的一小步	0	0	1024	1024	0	0	0	0	0	0	1	1	0	0	1	data\source\player\M2\部件\M2裸体模型\facemeta\M2_metadetail_001_nor.tga
1	0	4	data\source\player\M2\部件\M2裸体模型\facemeta\M2_meta捏脸基本贴图_004.tga	M2_Meta的一小步	0	0	1024	1024	0	0	0	0	0	0	1	1	0	0	1	data\source\player\M2\部件\M2裸体模型\facemeta\M2_metadetail_001_nor.tga
1	0	5	data\source\player\M2\部件\M2裸体模型\facemeta\M2_meta捏脸基本贴图_005.tga	M2_Meta的一小步	0	0	1024	1024	0	0	0	0	0	0	1	1	0	0	1	data\source\player\M2\部件\M2裸体模型\facemeta\M2_metadetail_001_nor.tga
1	1	1	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_001.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	2	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_001.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	3	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_002.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	4	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_003.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	5	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_004.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	6	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_005.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	7	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_006.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	8	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_007.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	9	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_008.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	10	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_009.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	11	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_010.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	12	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_011.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	13	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_012.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	14	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_013.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	15	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_014.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	16	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_015.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	17	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_016.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	18	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_017.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	19	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_018.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	20	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_019.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	21	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_020.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	22	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_021.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	23	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_022.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	24	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_023.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	25	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_024.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	26	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_025.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	27	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_026.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	28	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_027.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	29	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_028.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	30	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_029.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	31	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_030.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	32	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_031.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	33	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_032.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	1	34	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_033.tga		128	128	256	256	0	0	0	1	0	0	1	0	0	0	0	
1	2	1	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_001.tga		128	128	256	256	0	0	0	1	0	0	0	0	0	0	0	
1	2	2	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_001.tga		128	128	256	256	0	0	0	1	0	0	0	0	0	0	0	
1	2	3	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_002.tga		128	128	256	256	0	0	0	1	0	0	0	0	0	0	0	
1	2	4	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_003.tga		128	128	256	256	0	0	0	1	0	0	0	0	0	0	0	
1	2	5	data\source\player\F2\部件\F2裸体模型\facemeta\F2_meta瞳孔_004.tga		128	128	256	256	0	0	0	1	0	0	0	0	0	0	0	
