RoleType	Type	Name	HighlightModel
1	37	面部宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_FaceGrp_hd.mesh
1	1	面部长短	data\public\FaceMeta\M2\部件\M2_facemeta_parts_FaceGrp_hd.mesh
1	171	上部高低	data\public\FaceMeta\M2\部件\M2_facemeta_parts_FaceGrpU_hd.mesh
1	86	中庭长短	data\public\FaceMeta\M2\部件\M2_facemeta_parts_FaceGrpM_hd.mesh
1	0	饱满程度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_ForeHead_hd.mesh
1	19	倾斜程度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_ForeHead_hd.mesh
1	9	颧骨高低	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Malar_hd.mesh
1	7	颧骨宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Malar_hd.mesh
1	8	颧骨凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Malar_hd.mesh
1	24	颧骨外旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Malar_hd.mesh
1	25	颧骨侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Malar_hd.mesh
1	26	颧骨上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Malar_hd.mesh
1	4	苹果肌高低	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Apple_hd.mesh
1	2	苹果肌宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Apple_hd.mesh
1	3	苹果肌凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Apple_hd.mesh
1	20	苹果肌外旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Apple_hd.mesh
1	21	苹果肌侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Apple_hd.mesh
1	22	苹果肌上旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Apple_hd.mesh
1	10	脸颊胖瘦	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Cheek_hd.mesh
1	133	上颌凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Maxillary_hd.mesh
1	101	上颌宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Maxillary_hd.mesh
1	14	下颌突出	data\public\FaceMeta\M2\部件\M2_facemeta_parts_ChinBottom_hd.mesh
1	15	下颌轮廓	data\public\FaceMeta\M2\部件\M2_facemeta_parts_ChinBottom_hd.mesh
1	13	下颌宽窄	data\public\FaceMeta\M2\部件\M2_facemeta_parts_ChinBottom_hd.mesh
1	44	下颌厚度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_ChinBottom_hd.mesh
1	43	下颌底厚度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_ChinBottom_hd.mesh
1	40	下颌角高低	data\public\FaceMeta\M2\部件\M2_facemeta_parts_ChinEdge_hd.mesh
1	6	下巴长短	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Chin_hd.mesh
1	31	下巴宽度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Chin_hd.mesh
1	5	下巴凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Chin_hd.mesh
1	23	下巴弧度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Chin_hd.mesh
1	33	下巴厚度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Chin_hd.mesh
1	45	眉弓高低	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowGrp_hd.mesh
1	46	眉弓间距	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowGrp_hd.mesh
1	47	眉弓外凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowGrp_hd.mesh
1	49	眉毛长短	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowGrp_hd.mesh
1	63	眉毛粗细	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowGrp_hd.mesh
1	60	眉弓翘度	data\public\FaceMeta\M2\部件\M2_facemeta_parts_Eyebrow_hd.mesh
1	48	眉头弯折	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowStart_hd.mesh
1	51	眉尾弯折	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowEnd_hd.mesh
1	50	眉尾凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowEnd_hd.mesh
1	53	眉心凹凸	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyebrowMiddle_hd.mesh
1	149	眼部高低	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeGrp_hd.mesh
1	147	眼部间距	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeGrp_hd.mesh
1	148	眼部深浅	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeGrp_hd.mesh
1	170	眼睛大小	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeGrp_hd.mesh
1	172	眼睛开合	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeGrp_hd.mesh
1	158	整体侧旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeGrp_hd.mesh
1	159	整体外旋	data\public\FaceMeta\M2\部件\M2_facemeta_parts_EyeGrp_hd.mesh
