Type	ValueMin	ValueMax
0	-30	30
1	-50	127
2	-128	50
3	-10	20
4	-100	70
5	-80	80
6	-80	70
7	-40	50
8	-100	70
9	-128	70
10	-30	50
11	0	0
12	0	0
13	-70	80
14	-70	40
15	-40	40
16	0	0
17	0	0
18	0	0
19	-70	80
20	-100	90
21	-128	90
22	-128	70
23	-70	60
24	-80	80
25	-128	90
26	-110	110
27	0	0
28	0	0
29	0	0
30	0	0
31	-90	50
32	0	0
33	-10	10
34	0	0
35	0	0
36	0	0
37	-50	60
38	0	0
39	0	0
40	-60	80
41	0	0
42	0	0
43	-30	40
44	-30	20
45	-128	110
46	-128	100
47	-128	127
48	-100	100
49	-128	90
50	-40	30
51	-100	70
52	0	0
53	-128	90
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	-40	40
61	0	0
62	0	0
63	-128	127
64	0	0
65	0	0
66	0	0
67	-50	90
68	-90	110
69	-50	40
70	-50	30
71	-100	80
72	-30	30
73	-90	30
74	0	0
75	-90	70
76	-30	30
77	0	0
78	-10	90
79	-80	127
80	-90	70
81	-70	90
82	-70	70
83	-100	70
84	-70	70
85	0	0
86	-110	127
87	-20	20
88	-128	70
89	0	0
90	0	0
91	0	0
92	-110	20
93	0	0
94	-20	20
95	-100	70
96	0	0
97	-50	50
98	-50	80
99	-40	40
100	-110	80
101	-90	90
102	-50	50
103	-60	60
104	-100	50
105	-80	70
106	-30	40
107	-20	50
108	-128	100
109	-50	40
110	-50	40
111	-70	80
112	-30	50
113	-128	100
114	-100	80
115	-50	50
116	-50	50
117	-80	90
118	-50	50
119	0	0
120	0	0
121	0	0
122	-40	50
123	-128	127
124	-128	60
125	0	0
126	-50	50
127	-128	127
128	-100	127
129	0	0
130	-80	127
131	0	0
132	-90	100
133	-100	110
134	0	0
135	-128	127
136	-50	50
137	-100	90
138	0	0
139	-30	10
140	0	0
141	0	0
142	0	0
143	0	0
144	-50	50
145	0	0
146	0	0
147	-70	70
148	-50	60
149	-128	100
150	-80	80
151	-80	50
152	-80	80
153	-50	50
154	-40	40
155	-40	40
156	-40	40
157	-60	80
158	-70	80
159	-40	40
160	-50	50
161	-128	30
162	0	0
163	-128	30
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	-70	80
171	-128	127
172	-90	100
173	0	0
174	0	0
175	0	0
176	-128	127
177	0	0
178	0	0
179	-128	127
180	-128	80
181	-128	50
182	-128	127
183	-128	127
184	-128	127
185	-70	50
186	-100	100
