Type	ValueMin	ValueMax
0	-40	40
1	-60	127
2	-128	80
3	-10	20
4	-100	100
5	-100	70
6	-128	60
7	-50	70
8	-100	80
9	-128	110
10	-50	50
11	0	0
12	0	0
13	-128	80
14	-30	50
15	-70	70
16	0	0
17	0	0
18	0	0
19	-110	90
20	-128	127
21	-100	127
22	-128	127
23	-70	60
24	-100	90
25	-128	100
26	-128	90
27	0	0
28	0	0
29	0	0
30	0	0
31	-80	80
32	0	0
33	-10	20
34	0	0
35	0	0
36	0	0
37	-50	50
38	0	0
39	0	0
40	-128	127
41	0	0
42	0	0
43	-50	40
44	-30	30
45	-128	127
46	-128	127
47	-128	90
48	-90	100
49	-128	80
50	-40	40
51	-100	70
52	0	0
53	-100	100
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	-40	50
61	0	0
62	0	0
63	-90	127
64	0	0
65	0	0
66	0	0
67	-100	110
68	-100	70
69	-50	30
70	-40	50
71	-110	90
72	-50	50
73	-80	30
74	0	0
75	-128	70
76	-50	40
77	0	0
78	-10	100
79	-90	90
80	-100	127
81	-90	110
82	-100	100
83	-110	90
84	-90	110
85	0	0
86	-100	127
87	-20	20
88	-90	100
89	0	0
90	0	0
91	0	0
92	-100	40
93	0	0
94	-20	20
95	-110	110
96	0	0
97	-70	40
98	-40	100
99	-100	100
100	-128	100
101	-128	127
102	-50	50
103	-60	60
104	-100	100
105	-60	80
106	-60	70
107	-20	50
108	-100	127
109	-50	40
110	-30	50
111	-100	90
112	-50	20
113	-80	127
114	-70	100
115	-40	50
116	-40	50
117	-70	80
118	-128	110
119	0	0
120	0	0
121	0	0
122	-60	60
123	-110	127
124	-110	60
125	0	0
126	-70	127
127	-80	127
128	-128	127
129	0	0
130	-100	100
131	0	0
132	-80	100
133	-128	90
134	0	0
135	-50	127
136	-50	50
137	-100	100
138	0	0
139	-20	20
140	0	0
141	0	0
142	0	0
143	0	0
144	-40	50
145	0	0
146	0	0
147	-100	60
148	-128	110
149	-128	127
150	-80	80
151	-60	50
152	-70	80
153	-50	50
154	-40	40
155	-40	40
156	-40	40
157	-80	80
158	-60	70
159	-50	50
160	-80	50
161	-128	100
162	0	0
163	-128	127
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	-100	90
171	-128	110
172	-80	100
173	0	0
174	0	0
175	0	0
176	-90	127
177	0	0
178	0	0
179	-128	80
180	-110	127
181	-128	70
182	-128	127
183	-128	127
184	-128	90
185	-70	70
186	-80	90
