Type	ValueMin	ValueMax
0	-128	127
1	-128	127
2	-128	127
3	-128	127
4	-128	127
5	-128	127
6	-128	127
7	-128	127
8	-128	127
9	-128	127
10	-128	127
11	-128	127
12	-128	127
13	-128	127
14	-128	127
15	-128	127
16	-128	127
17	-128	127
18	-128	127
19	-128	127
20	-128	127
21	-128	127
22	-128	127
23	-128	127
24	-128	127
25	-128	127
26	-128	127
27	-128	127
28	-128	127
29	-128	127
30	-128	127
31	-128	127
32	-128	127
33	-128	127
34	-128	127
35	-128	127
36	-128	127
37	-128	127
38	-128	127
39	-128	127
40	-128	127
41	-128	127
42	-128	127
43	-128	127
44	-128	127
45	-128	127
46	-128	127
47	-128	127
48	-128	127
49	-128	127
50	-128	127
51	-128	127
52	-128	127
53	-128	127
54	-128	127
55	-128	127
56	-128	127
57	-128	127
58	-128	127
59	-128	127
60	-128	127
61	-128	127
62	-128	127
63	-128	127
64	-128	127
65	-128	127
66	-128	127
67	-128	127
68	-128	127
69	-128	127
70	-128	127
71	-128	127
72	-128	127
73	-128	127
74	-128	127
75	-128	127
76	-128	127
77	-128	127
78	-128	127
79	-128	127
80	-128	127
81	-128	127
82	-128	127
83	-128	127
84	-128	127
85	-128	127
86	-128	127
87	-128	127
88	-128	127
89	-128	127
90	-128	127
91	-128	127
92	-128	127
93	-128	127
94	-128	127
95	-128	127
96	-128	127
97	-128	127
98	-128	127
99	-128	127
100	-128	127
101	-128	127
102	-128	127
103	-128	127
104	-128	127
105	-128	127
106	-128	127
107	-128	127
108	-128	127
109	-128	127
110	-128	127
111	-128	127
112	-128	127
113	-128	127
114	-128	127
115	-128	127
116	-128	127
117	-128	127
118	-128	127
119	-128	127
120	-128	127
121	-128	127
122	-128	127
123	-128	127
124	-128	127
125	-128	127
126	-128	127
127	-128	127
128	-128	127
129	-128	127
130	-128	127
131	-128	127
132	-128	127
133	-128	127
134	-128	127
135	-128	127
136	-128	127
137	-128	127
138	-128	127
139	-128	127
140	-128	127
141	-128	127
142	-128	127
143	-128	127
144	-128	127
145	-128	127
146	-128	127
147	-128	127
148	-128	127
149	-128	127
150	-128	127
151	-128	127
152	-128	127
153	-128	127
154	-128	127
155	-128	127
156	-128	127
157	-128	127
158	-128	127
159	-128	127
160	-128	127
161	-128	127
162	-128	127
163	-128	127
164	-128	127
165	-128	127
166	-128	127
167	-128	127
168	-128	127
169	-128	127
170	-128	127
171	-128	127
172	-128	127
173	-128	127
174	-128	127
175	-128	127
176	-128	127
177	-128	127
178	-128	127
179	-128	127
180	-128	127
181	-128	127
182	-128	127
183	-128	127
184	-128	127
185	-128	127
186	-128	127
