Type	ValueMin	ValueMax
0	-40	70
1	-20	127
2	-128	80
3	-10	30
4	-128	70
5	-128	110
6	-128	60
7	-100	60
8	-128	90
9	-128	80
10	-50	40
11	0	0
12	0	0
13	-128	80
14	-100	60
15	-128	127
16	0	0
17	0	0
18	0	0
19	-128	80
20	-80	127
21	-128	127
22	-128	127
23	-70	50
24	-80	70
25	-128	100
26	-128	100
27	0	0
28	0	0
29	0	0
30	0	0
31	-128	80
32	0	0
33	-20	10
34	0	0
35	0	0
36	0	0
37	-60	30
38	0	0
39	0	0
40	-100	127
41	0	0
42	0	0
43	-40	40
44	-40	40
45	-128	100
46	-128	127
47	-128	100
48	-128	127
49	-128	90
50	-40	30
51	-128	110
52	0	0
53	-128	127
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	-70	80
61	0	0
62	0	0
63	-128	127
64	0	0
65	0	0
66	0	0
67	-80	127
68	-100	80
69	-50	40
70	-40	50
71	-128	60
72	-80	100
73	-80	90
74	0	0
75	-100	70
76	-100	50
77	0	0
78	-20	60
79	-128	90
80	-128	100
81	-80	110
82	-100	110
83	-128	80
84	-90	80
85	0	0
86	-90	127
87	-30	90
88	-110	90
89	0	0
90	0	0
91	0	0
92	-110	40
93	0	0
94	-30	20
95	-128	127
96	0	0
97	-100	60
98	-40	100
99	-90	100
100	-128	110
101	-128	100
102	-50	50
103	-128	90
104	-100	70
105	-128	80
106	-70	70
107	-20	50
108	-110	127
109	-100	80
110	-50	50
111	-100	80
112	-50	50
113	-70	127
114	-90	100
115	-50	50
116	-80	80
117	-100	100
118	-128	100
119	0	0
120	0	0
121	0	0
122	-80	100
123	-128	127
124	-128	60
125	0	0
126	-50	50
127	-100	127
128	-90	127
129	0	0
130	-128	127
131	0	0
132	-90	100
133	-110	110
134	0	0
135	-90	127
136	-50	50
137	-128	110
138	0	0
139	-20	20
140	0	0
141	0	0
142	0	0
143	0	0
144	-40	50
145	0	0
146	0	0
147	-80	50
148	-110	90
149	-128	100
150	-70	100
151	-80	50
152	-100	100
153	-50	80
154	-70	40
155	-80	80
156	-70	60
157	-80	70
158	-70	70
159	-50	50
160	-80	70
161	-128	127
162	0	0
163	-100	127
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	-70	100
171	-128	110
172	-80	90
173	0	0
174	0	0
175	0	0
176	-70	127
177	0	0
178	0	0
179	-128	127
180	-128	127
181	-128	100
182	-128	127
183	-128	127
184	-128	127
185	-70	70
186	-100	100
