Type	ValueMin	ValueMax
0	-50	50
1	-80	127
2	-128	127
3	-20	20
4	-100	100
5	-128	127
6	-128	127
7	-80	80
8	-128	127
9	-128	127
10	-50	50
11	0	0
12	0	0
13	-128	127
14	-70	127
15	-128	127
16	0	0
17	0	0
18	0	0
19	-128	127
20	-128	127
21	-128	127
22	-128	127
23	-80	80
24	-100	100
25	-128	127
26	-128	127
27	0	0
28	0	0
29	0	0
30	0	0
31	-128	127
32	0	0
33	-10	10
34	0	0
35	0	0
36	0	0
37	-128	50
38	0	0
39	0	0
40	-128	127
41	0	0
42	0	0
43	-30	30
44	-30	30
45	-128	127
46	-128	127
47	-128	127
48	-100	100
49	-128	90
50	-50	50
51	-100	100
52	0	0
53	-128	127
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	-40	40
61	0	0
62	0	0
63	-128	127
64	0	0
65	0	0
66	0	0
67	-128	127
68	-100	127
69	-50	50
70	-40	40
71	-128	127
72	-50	50
73	-50	50
74	0	0
75	-128	127
76	-100	100
77	0	0
78	-128	127
79	-128	127
80	-128	127
81	-128	127
82	-128	127
83	-128	127
84	-128	127
85	0	0
86	-128	127
87	-30	80
88	-128	127
89	0	0
90	0	0
91	0	0
92	-100	100
93	0	0
94	-40	40
95	-128	127
96	0	0
97	-100	100
98	-80	80
99	-100	100
100	-128	127
101	-128	127
102	-80	80
103	-128	127
104	-100	100
105	-128	100
106	-50	50
107	-80	80
108	-128	127
109	-50	50
110	-80	80
111	-100	100
112	-50	50
113	-100	100
114	-100	100
115	-100	100
116	-50	50
117	-100	100
118	-128	127
119	0	0
120	0	0
121	0	0
122	-128	127
123	-128	127
124	-128	60
125	0	0
126	-128	127
127	-128	127
128	-128	60
129	0	0
130	-128	127
131	0	0
132	-80	80
133	-128	127
134	0	0
135	-128	127
136	-128	127
137	-100	100
138	0	0
139	-20	20
140	0	0
141	0	0
142	0	0
143	0	0
144	-50	50
145	0	0
146	0	0
147	-100	100
148	-128	127
149	-128	127
150	-100	100
151	-60	60
152	-100	100
153	-60	60
154	-100	70
155	-60	60
156	-70	100
157	-70	70
158	-80	80
159	-50	50
160	-60	60
161	-128	50
162	0	0
163	-128	50
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	-80	127
171	-128	127
172	-100	100
173	0	0
174	0	0
175	0	0
176	-128	127
177	0	0
178	0	0
179	-128	127
180	-128	127
181	-128	127
182	-128	127
183	-128	127
184	-128	127
185	-50	50
186	-50	50
