ID	nRoleType	Exterior	dwIconID	szMobileIconPath
0	0		0	
1	1	1|1633;2|0;5|1505;6|0	22337	Texture\NieLian\Clothes\m2\半身_m2预约.png
2	1	1|1485;2|0;5|947;6|0	22339	Texture\NieLian\Clothes\m2\半身_m2灵龙.png
3	1	1|1585;2|0;5|992;6|1	22340	Texture\NieLian\Clothes\m2\m2衣服_神鹿.png
4	1	1|1405;2|0;5|910;6|0	22341	Texture\NieLian\Clothes\m2\m2衣服_弓盒.png
5	2	1|1633;2|0;5|1505;6|0	22327	Texture\NieLian\Clothes\f2\半身_f2预约.png
6	2	1|1485;2|0;5|947;6|0	22329	Texture\NieLian\Clothes\f2\半身_f2灵龙.png
7	2	1|1585;2|0;5|992;6|1	22330	Texture\NieLian\Clothes\f2\f2衣服_神鹿.png
8	2	1|1405;2|0;5|910;6|0	22331	Texture\NieLian\Clothes\f2\f2衣服_弓盒.png
9	5	1|1633;2|0;5|1505;6|0	22332	Texture\NieLian\Clothes\m1\半身_m1预约.png
10	5	1|1485;2|0;5|947;6|0	22334	Texture\NieLian\Clothes\m1\半身_m1灵龙.png
11	5	1|1585;2|0;5|992;6|1	22335	Texture\NieLian\Clothes\m1\m1衣服_神鹿.png
12	5	1|1405;2|0;5|910;6|0	22336	Texture\NieLian\Clothes\m1\m1衣服_弓盒.png
13	6	1|1633;2|0;5|1505;6|0	22322	Texture\NieLian\Clothes\f1\半身_f1预约.png
14	6	1|1485;2|0;5|947;6|0	22324	Texture\NieLian\Clothes\f1\半身_f1灵龙.png
15	6	1|1585;2|0;5|992;6|1	22325	Texture\NieLian\Clothes\f1\f1衣服_神鹿.png
16	6	1|1405;2|0;5|910;6|0	22326	Texture\NieLian\Clothes\f1\f1衣服_弓盒.png
