dwID	RoleType	FilePath	Name	Des	IsDefault	CanUseInCreate
0	0				0	1
1	1	data\public\BodyReshaping\m2\M2_default.ini	默认	创建角色时即拥有的默认体型。	1	1
2	1	data\public\BodyReshaping\m2\成男1by夜醉风.ini		by夜醉风	0	1
3	1	data\public\BodyReshaping\m2\成男2by夜醉风.ini		by夜醉风	0	1
4	1	data\public\BodyReshaping\m2\成男高瘦八头半.ini			0	1
5	1	data\public\BodyReshaping\m2\成男矮六头半.ini			0	1
6	1	data\public\BodyReshaping\m2\成男高壮八头半.ini			0	1
7	1	data\public\BodyReshaping\m2\成男正常身高纤细八头.ini			0	1
8	1	data\public\BodyReshaping\m2\成男上瘦下胖七头半.ini			0	1
9	1	data\public\BodyReshaping\m2\成男壮七头半.ini			0	1
10	2	data\public\BodyReshaping\f2\F2_default.ini	默认	创建角色时即拥有的默认体型。	1	1
11	2	data\public\BodyReshaping\f2\成女1by坂田鸡块.ini		by坂田鸡块	0	1
12	2	data\public\BodyReshaping\f2\成女2by坂田鸡块.ini		by坂田鸡块	0	1
13	2	data\public\BodyReshaping\f2\成女高挑九头.ini			0	1
14	2	data\public\BodyReshaping\f2\成女矮六头半.ini			0	1
15	2	data\public\BodyReshaping\f2\成女肉腿八头.ini			0	1
16	2	data\public\BodyReshaping\f2\成女御姐八头偏高.ini			0	1
17	2	data\public\BodyReshaping\f2\成女丰满七头半.ini			0	1
18	2	data\public\BodyReshaping\f2\成女七头平胸.ini			0	1
19	5	data\public\BodyReshaping\m1\M1_default.ini	默认	创建角色时即拥有的默认体型。	1	1
20	5	data\public\BodyReshaping\m1\正太1by清肆肆.ini		by清肆肆	0	1
21	5	data\public\BodyReshaping\m1\正太2by清肆肆.ini		by清肆肆	0	1
22	5	data\public\BodyReshaping\m1\正太正常身高六头.ini			0	1
23	5	data\public\BodyReshaping\m1\正太高瘦长手长腿七头半.ini			0	1
24	5	data\public\BodyReshaping\m1\正太高壮七头半.ini			0	1
25	5	data\public\BodyReshaping\m1\正太宽肩细腰六头半.ini			0	1
26	5	data\public\BodyReshaping\m1\正太粗腿少年六头半.ini			0	1
27	5	data\public\BodyReshaping\m1\正太矮胖胖.ini			0	1
28	6	data\public\BodyReshaping\f1\F1_default.ini	默认	创建角色时即拥有的默认体型。	1	1
29	6	data\public\BodyReshaping\f1\萝莉1by坂田鸡块.ini		by坂田鸡块	0	1
30	6	data\public\BodyReshaping\f1\萝莉2by糯猪猪.ini		by糯猪猪	0	1
31	6	data\public\BodyReshaping\f1\萝莉高七头半.ini			0	1
32	6	data\public\BodyReshaping\f1\萝莉矮七头.ini			0	1
33	6	data\public\BodyReshaping\f1\萝莉肉腿六头半.ini			0	1
34	6	data\public\BodyReshaping\f1\萝莉矮胖.ini			0	1
35	6	data\public\BodyReshaping\f1\萝莉少女六头.ini			0	1
36	6	data\public\BodyReshaping\f1\萝莉微胖七头偏高.ini			0	1
