Type	AdjustName	HDValue1	SDValue1	Name1	HDValue2	SDValue2	Name2	HDValue3	SDValue3	Name3
-1	色彩调整	0	0		0	0		0	0	
0	皮肤调整	1	1	肤色	1	1	光泽度	1	1	颗粒度
1		0	0		1	1	浓淡	0	0	
2		0	0		1	1	浓淡	0	0	
3		0	0		1	1	浓淡	0	0	
4		0	0		1	1	浓淡	0	0	
5		0	0		1	1	浓淡	0	0	
6		0	0		1	1	浓淡	0	0	
7		0	0		1	1	浓淡	1	0	光泽度
8		0	0		1	1	浓淡	0	0	
9		0	0		1	1	浓淡	0	0	
10		1	1	大小	1	1	浓淡	1	0	光泽度
11		1	1	浓淡						
12		1	1	浓淡						
13		1	0	光泽度	1	1	浓淡			
14		1	0	光泽度	1	1	浓淡			
15		1	0	光泽度	1	1	浓淡			
16		1	0	光泽度	1	1	浓淡			
17		1	1	大小	1	1	密度	1	1	浓淡
18		1	1	大小	1	1	密度	1	1	浓淡
19		1	1	大小	1	1	密度	1	1	浓淡
20		1	1	大小	1	1	密度	1	1	浓淡
