ID	nRoleType	AniPath	dwIconID
0	0		0
1	1	data\source\player\M2\动作\face\M2_meta_face_hd_捏脸预览_开心.ani	21131
2	1	data\source\player\M2\动作\face\M2_meta_face_hd_捏脸预览_惊讶.ani	21132
3	1	data\source\player\M2\动作\face\M2_meta_face_hd_捏脸预览_生气.ani	21133
4	1	data\source\player\M2\动作\face\M2_meta_face_hd_捏脸预览_伤心.ani	21134
5	2	data\source\player\F2\动作\face\F2_meta_face_hd_捏脸预览_开心.ani	21131
6	2	data\source\player\F2\动作\face\F2_meta_face_hd_捏脸预览_惊讶.ani	21132
7	2	data\source\player\F2\动作\face\F2_meta_face_hd_捏脸预览_生气.ani	21133
8	2	data\source\player\F2\动作\face\F2_meta_face_hd_捏脸预览_伤心.ani	21134
9	5	data\source\player\M1\动作\face\M1_meta_face_hd_捏脸预览_开心.ani	21131
10	5	data\source\player\M1\动作\face\M1_meta_face_hd_捏脸预览_惊讶.ani	21132
11	5	data\source\player\M1\动作\face\M1_meta_face_hd_捏脸预览_生气.ani	21133
12	5	data\source\player\M1\动作\face\M1_meta_face_hd_捏脸预览_伤心.ani	21134
13	6	data\source\player\F1\动作\face\F1_meta_face_hd_捏脸预览_开心.ani	21131
14	6	data\source\player\F1\动作\face\F1_meta_face_hd_捏脸预览_惊讶.ani	21132
15	6	data\source\player\F1\动作\face\F1_meta_face_hd_捏脸预览_生气.ani	21133
16	6	data\source\player\F1\动作\face\F1_meta_face_hd_捏脸预览_伤心.ani	21134
