dwID	RoleType	FilePath	Icon	Name	Des
0	0				
1	1	data\public\FaceMeta\M2\局部\M2_001_轮廓.json	21196	轮廓一	
1	2	data\public\FaceMeta\F2\局部\F2_001_轮廓.json	21231	轮廓一	
1	5	data\public\FaceMeta\M1\局部\M1_001_轮廓.json	21266	轮廓一	
1	6	data\public\FaceMeta\F1\局部\F1_001_轮廓.json	21301	轮廓一	
2	1	data\public\FaceMeta\M2\局部\M2_002_轮廓.json	21197	轮廓二	
2	2	data\public\FaceMeta\F2\局部\F2_002_轮廓.json	21232	轮廓二	
2	5	data\public\FaceMeta\M1\局部\M1_002_轮廓.json	21267	轮廓二	
2	6	data\public\FaceMeta\F1\局部\F1_002_轮廓.json	21302	轮廓二	
3	1	data\public\FaceMeta\M2\局部\M2_003_轮廓.json	21198	轮廓三	
3	2	data\public\FaceMeta\F2\局部\F2_003_轮廓.json	21233	轮廓三	
3	5	data\public\FaceMeta\M1\局部\M1_003_轮廓.json	21268	轮廓三	
3	6	data\public\FaceMeta\F1\局部\F1_003_轮廓.json	21303	轮廓三	
4	1	data\public\FaceMeta\M2\局部\M2_004_轮廓.json	21199	轮廓四	
4	2	data\public\FaceMeta\F2\局部\F2_004_轮廓.json	21234	轮廓四	
4	5	data\public\FaceMeta\M1\局部\M1_004_轮廓.json	21269	轮廓四	
4	6	data\public\FaceMeta\F1\局部\F1_004_轮廓.json	21304	轮廓四	
5	1	data\public\FaceMeta\M2\局部\M2_005_轮廓.json	21200	轮廓五	
5	2	data\public\FaceMeta\F2\局部\F2_005_轮廓.json	21235	轮廓五	
5	5	data\public\FaceMeta\M1\局部\M1_005_轮廓.json	21270	轮廓五	
5	6	data\public\FaceMeta\F1\局部\F1_005_轮廓.json	21305	轮廓五	
6	1	data\public\FaceMeta\M2\局部\M2_006_轮廓.json	21201	轮廓六	
6	2	data\public\FaceMeta\F2\局部\F2_006_轮廓.json	21236	轮廓六	
6	5	data\public\FaceMeta\M1\局部\M1_006_轮廓.json	21271	轮廓六	
6	6	data\public\FaceMeta\F1\局部\F1_006_轮廓.json	21306	轮廓六	
7	1	data\public\FaceMeta\M2\局部\M2_007_轮廓.json	21202	轮廓七	
7	2	data\public\FaceMeta\F2\局部\F2_007_轮廓.json	21237	轮廓七	
7	5	data\public\FaceMeta\M1\局部\M1_007_轮廓.json	21272	轮廓七	
7	6	data\public\FaceMeta\F1\局部\F1_007_轮廓.json	21307	轮廓七	
8	1	data\public\FaceMeta\M2\局部\M2_001_眉毛.json	21203	眉毛一	
8	2	data\public\FaceMeta\F2\局部\F2_001_眉毛.json	21238	眉毛一	
8	5	data\public\FaceMeta\M1\局部\M1_001_眉毛.json	21273	眉毛一	
8	6	data\public\FaceMeta\F1\局部\F1_001_眉毛.json	21308	眉毛一	
9	1	data\public\FaceMeta\M2\局部\M2_002_眉毛.json	21204	眉毛二	
9	2	data\public\FaceMeta\F2\局部\F2_002_眉毛.json	21239	眉毛二	
9	5	data\public\FaceMeta\M1\局部\M1_002_眉毛.json	21274	眉毛二	
9	6	data\public\FaceMeta\F1\局部\F1_002_眉毛.json	21309	眉毛二	
10	1	data\public\FaceMeta\M2\局部\M2_003_眉毛.json	21205	眉毛三	
10	2	data\public\FaceMeta\F2\局部\F2_003_眉毛.json	21240	眉毛三	
10	5	data\public\FaceMeta\M1\局部\M1_003_眉毛.json	21275	眉毛三	
10	6	data\public\FaceMeta\F1\局部\F1_003_眉毛.json	21310	眉毛三	
11	1	data\public\FaceMeta\M2\局部\M2_004_眉毛.json	21206	眉毛四	
11	2	data\public\FaceMeta\F2\局部\F2_004_眉毛.json	21241	眉毛四	
11	5	data\public\FaceMeta\M1\局部\M1_004_眉毛.json	21276	眉毛四	
11	6	data\public\FaceMeta\F1\局部\F1_004_眉毛.json	21311	眉毛四	
12	1	data\public\FaceMeta\M2\局部\M2_005_眉毛.json	21207	眉毛五	
12	2	data\public\FaceMeta\F2\局部\F2_005_眉毛.json	21242	眉毛五	
12	5	data\public\FaceMeta\M1\局部\M1_005_眉毛.json	21277	眉毛五	
12	6	data\public\FaceMeta\F1\局部\F1_005_眉毛.json	21312	眉毛五	
