ID	AreaID	AreaName	szAreaPath	szAreaAni	ClassID	szRoleType	ClassName	SubClassID	SubClass	DecalsType	LoginShow	CoinShopShow
0	0		ui\Image\Coinshop\yirong3.UITex		0						1	1
1	1	底妆		25;29;28;28;27;29;29;26;28;28	1		面部皮肤	1		0	1	1
2	1	底妆			2		阴影	1		26	1	1
3	1	底妆			3		腮红	1		4	1	1
4	1	底妆			4	1	胡须	1		5	1	1
5	2	眉瞳		30;34;33;33;32;34;34;31;33;33	1		眉毛	1		3	1	1
6	2	眉瞳			2		虹膜	1	左虹膜	1	1	1
7	2	眉瞳			2		虹膜	1	右虹膜	2	0	1
8	2	眉瞳			3		眼白	1	左眼白	24	1	1
9	2	眉瞳			3		眼白	1	右眼白	25	0	1
10	2	眉瞳			4		眼神光	1		6	1	1
11	3	眼妆		35;39;38;38;37;39;39;36;38;38	1		双眼皮	1		28	1	1
12	3	眼妆			2		眼影	1	眼影·底	15	1	1
13	3	眼妆			2		眼影	2	眼影·叠	16	1	1
14	3	眼妆			2		眼影	3	眼影·晕	17	1	1
15	3	眼妆			2		眼影	4	眼线	18	1	1
16	3	眼妆			3		眼影闪点	1	闪点·底	19	1	1
17	3	眼妆			3		眼影闪点	2	闪点·叠	20	1	1
18	3	眼妆			3		眼影闪点	3	闪点·晕	21	1	1
19	3	眼妆			3		眼影闪点	4	闪点·眼线	22	1	1
20	3	眼妆			4		眼睫毛	1		23	1	1
21	3	眼妆			5		卧蚕	1		27	1	1
22	4	唇妆		40;44;43;43;42;44;44;41;43;43	1		唇形	1		14	1	1
23	4	唇妆			2		唇彩	1	唇彩	10	1	1
24	4	唇妆			2		唇彩	2	闪点	11	1	1
25	4	唇妆			2		唇彩	3	叠涂	12	1	1
26	4	唇妆			2		唇彩	4	偏光	13	1	1
27	5	面妆		45;49;48;48;47;49;49;46;48;48	1		贴花	1	贴花一	7	1	1
28	5	面妆			1		贴花	2	贴花二	8	1	1
29	5	面妆			1		贴花	3	贴花三	9	1	1
