ID	RoleType	Type	ShowID	Name	IconID	DefaultRGBA	Label
0	0	0	0	默认	0	255;255;255;255	0
1	1	0	1	默认	20597	216;188;179;255	
2	1	0	2	闻语	20598	216;188;179;255	
3	1	0	3	争渡	20599	216;188;179;255	
4	1	0	4	玉琼	20600	216;188;179;255	
5	1	0	5	关山	20601	216;188;179;255	
6	1	1	1	默认	19673	134;116;109;255	
7	1	1	2	静秋	19673	134;116;109;255	
8	1	1	3	云雁	19674	67;43;53;255	
9	1	1	4	暮鸦	19675	174;163;166;255	
10	1	1	5	清辉	19676	178;184;178;255	
11	1	1	6	金瑶	19677	90;39;17;255	
12	1	1	7	霜枝	19678	161;162;160;255	
13	1	1	8	琴音	19679	150;108;70;255	
14	1	1	9	松影	19680	161;162;160;255	
15	1	1	10	梦幽	19681	155;148;151;255	
16	1	1	11	清波	19682	112;110;106;255	
17	1	1	12	天翠	19683	112;110;106;255	
18	1	1	13	水月	19684	112;110;106;255	
19	1	1	14	雁影	19685	95;87;83;255	
20	1	1	15	琥珀	19686	150;108;70;255	
21	1	1	16	猫瞳	19687	150;108;70;255	
22	1	1	17	瑶池	19688	23;134;159;255	
23	1	1	18	晚光	19689	148;71;87;255	
24	1	1	19	花影	19690	173;116;173;255	
25	1	1	20	云舟	19691	166;161;144;255	
26	1	1	21	星璧	19692	46;156;156;255	
27	1	1	22	静泊	19693	101;173;178;255	
28	1	1	23	风吟	19694	94;115;81;255	
29	1	1	24	碧波	19695	77;134;124;255	
30	1	1	25	霞光	19696	67;12;41;255	
31	1	1	26	心语	19697	139;108;141;255	
32	1	2	1	默认	19673	134;116;109;255	
33	1	2	2	静秋	19673	134;116;109;255	
34	1	2	3	云雁	19674	67;43;53;255	
35	1	2	4	暮鸦	19675	174;163;166;255	
36	1	2	5	清辉	19676	178;184;178;255	
37	1	2	6	金瑶	19677	90;39;17;255	
38	1	2	7	霜枝	19678	161;162;160;255	
39	1	2	8	琴音	19679	150;108;70;255	
40	1	2	9	松影	19680	161;162;160;255	
41	1	2	10	梦幽	19681	155;148;151;255	
42	1	2	11	清波	19682	112;110;106;255	
43	1	2	12	天翠	19683	112;110;106;255	
44	1	2	13	水月	19684	112;110;106;255	
45	1	2	14	雁影	19685	95;87;83;255	
46	1	2	15	琥珀	19686	150;108;70;255	
47	1	2	16	猫瞳	19687	150;108;70;255	
48	1	2	17	瑶池	19688	23;134;159;255	
