RoleType	FilePath	Icon	Name	Des	IsDefault	CanUseInCreate
0					0	1
1	data\public\FaceMeta\M2\M2_004.json	21139	默认	创建角色时的默认脸型，如果您已经拥有则无法购买该脸型。	1	1
1	data\public\FaceMeta\M2\【脸型】展锋成男.json	22343				
1	data\public\FaceMeta\M2\【脸型】灵龙成男.json	22344				
1	data\public\FaceMeta\M2\【脸型】校服成男.json	22345				
1	data\public\FaceMeta\M2\【脸型】预约套成男.json	22346				
1	data\public\FaceMeta\M2\【脸型】神鹿成男.json	22347				
1	data\public\FaceMeta\M2\【脸型】弓盒成男.json	22348				
1	data\public\FaceMeta\M2\M2_001.json	21136				
1	data\public\FaceMeta\M2\M2_002.json	21137	by渊持			
1	data\public\FaceMeta\M2\M2_003.json	21138	by渊持			
1	data\public\FaceMeta\M2\M2_005.json	21140	by夜醉风			
1	data\public\FaceMeta\M2\M2_006.json	21141	by夜醉风			
1	data\public\FaceMeta\M2\M2_007.json	21142	by夜醉风			
1	data\public\FaceMeta\M2\M2_008.json	21143	by夜醉风			
1	data\public\FaceMeta\M2\M2_009.json	21144	by夜醉风			
1	data\public\FaceMeta\M2\M2_010.json	21145	by夜醉风			
1	data\public\FaceMeta\M2\M2_011.json	21146	by夜醉风			
1	data\public\FaceMeta\M2\M2_012.json	21147	by夜醉风			
1	data\public\FaceMeta\M2\M2_013.json	21148	by夜醉风			
1	data\public\FaceMeta\M2\M2_014.json	21149	by夜醉风			
1	data\public\FaceMeta\M2\M2_015.json	21150	by妧九			
1	data\public\FaceMeta\M2\M2_016.json	21761	by夺月			
1	data\public\FaceMeta\M2\M2_017.json	21762	by夺月			
1	data\public\FaceMeta\M2\M2_018.json	21763	by秦未谙			
1	data\public\FaceMeta\M2\M2_019.json	21764	by秦未谙			
1	data\public\FaceMeta\M2\M2_020.json	21765	by星河浮霁			
1	data\public\FaceMeta\M2\M2_021.json	21766	by雨弑			
1	data\public\FaceMeta\M2\M2_022.json	21767	by雨弑			
1	data\public\FaceMeta\M2\M2_023.json	21768	by雨弑			
1	data\public\FaceMeta\M2\M2_024.json	21769	by雨弑			
1	data\public\FaceMeta\M2\M2_025.json	21770	by夜醉风			
1	data\public\FaceMeta\M2\M2_026.json	21771	by夜醉风			
1	data\public\FaceMeta\M2\M2_027.json	21772	by夜醉风			
1	data\public\FaceMeta\M2\M2_028.json	21773	by夜醉风			
1	data\public\FaceMeta\M2\M2_029.json	21774	by猫英俊			
1	data\public\FaceMeta\M2\M2_030.json	21775	by西岭			
1	data\public\FaceMeta\M2\M2_031.json	21776	by一块喵酥			
1	data\public\FaceMeta\M2\M2_032.json	21777	by君安雪词			
1	data\public\FaceMeta\M2\M2_033.json	21778	by池大狗			
1	data\public\FaceMeta\M2\M2_034.json	21779	byme非我			
1	data\public\FaceMeta\M2\M2_035.json	21780	by氙猫			
2	data\public\FaceMeta\F2\F2_001.json	21151	默认	创建角色时的默认脸型，如果您已经拥有则无法购买该脸型。	1	1
2	data\public\FaceMeta\F2\【脸型】展锋成女.json	22349				
2	data\public\FaceMeta\F2\【脸型】灵龙成女.json	22350				
2	data\public\FaceMeta\F2\【脸型】校服成女.json	22351				
2	data\public\FaceMeta\F2\【脸型】预约套成女.json	22352				
2	data\public\FaceMeta\F2\【脸型】神鹿成女.json	22353				
2	data\public\FaceMeta\F2\【脸型】弓盒成女.json	22354				
2	data\public\FaceMeta\F2\F2_002.json	21152	by烟夕罗			
2	data\public\FaceMeta\F2\F2_003.json	21153	by烟夕罗			
2	data\public\FaceMeta\F2\F2_004.json	21154	by清肆			
2	data\public\FaceMeta\F2\F2_005.json	21155	by月舟			
2	data\public\FaceMeta\F2\F2_006.json	21156	by月舟			
2	data\public\FaceMeta\F2\F2_007.json	21157	by月舟			
2	data\public\FaceMeta\F2\F2_008.json	21158	by夺月			
2	data\public\FaceMeta\F2\F2_009.json	21159	by夺月			
2	data\public\FaceMeta\F2\F2_010.json	21160	by夺月			
2	data\public\FaceMeta\F2\F2_011.json	21161	by夺月			
2	data\public\FaceMeta\F2\F2_012.json	21162	by夺月			
2	data\public\FaceMeta\F2\F2_013.json	21163	by夺月			
2	data\public\FaceMeta\F2\F2_014.json	21164	by夺月			
2	data\public\FaceMeta\F2\F2_015.json	21165	by夺月			
2	data\public\FaceMeta\F2\F2_016.json	21781	by夺月			
2	data\public\FaceMeta\F2\F2_017.json	21782	by夺月			
2	data\public\FaceMeta\F2\F2_018.json	21783	by夺月			
2	data\public\FaceMeta\F2\F2_019.json	21784	by夺月			
2	data\public\FaceMeta\F2\F2_020.json	21785	by夺月			
2	data\public\FaceMeta\F2\F2_021.json	21786	bycall酱			
2	data\public\FaceMeta\F2\F2_022.json	21787	by君安雪词			
2	data\public\FaceMeta\F2\F2_023.json	21788	by君安雪词			
2	data\public\FaceMeta\F2\F2_024.json	21789	by妧九			
2	data\public\FaceMeta\F2\F2_025.json	21790	by妧九			
2	data\public\FaceMeta\F2\F2_026.json	21791	by烟夕罗			
2	data\public\FaceMeta\F2\F2_027.json	21792	by烟夕罗			
